seed,dataset,generation,new_selected,population
1,0,1,70.0,128.0
1,0,2,55.0,128.0
1,0,3,45.0,128.0
1,0,4,38.0,128.0
1,0,5,28.0,128.0
1,0,6,24.0,128.0
1,0,7,18.0,128.0
1,0,8,18.0,128.0
1,0,9,18.0,128.0
1,0,10,22.0,128.0
1,0,11,16.0,128.0
1,0,12,15.0,128.0
1,0,13,15.0,128.0
1,0,14,15.0,128.0
1,0,15,10.0,128.0
1,0,16,8.0,128.0
1,0,17,9.0,128.0
1,0,18,10.0,128.0
1,0,19,14.0,128.0
1,0,20,15.0,128.0
1,0,21,11.0,128.0
1,0,22,8.0,128.0
1,0,23,13.0,128.0
1,0,24,10.0,128.0
1,0,25,10.0,128.0
1,0,26,2.0,128.0
1,0,27,8.0,128.0
1,0,28,9.0,128.0
1,0,29,10.0,128.0
1,0,30,8.0,128.0
1,0,31,12.0,128.0
1,0,32,11.0,128.0
1,0,33,6.0,128.0
1,0,34,7.0,128.0
1,0,35,6.0,128.0
1,0,36,10.0,128.0
1,0,37,9.0,128.0
1,0,38,7.0,128.0
1,0,39,9.0,128.0
1,0,40,4.0,128.0
1,0,41,10.0,128.0
1,0,42,7.0,128.0
1,0,43,6.0,128.0
1,0,44,12.0,128.0
1,0,45,5.0,128.0
1,0,46,6.0,128.0
1,0,47,7.0,128.0
1,0,48,7.0,128.0
1,0,49,10.0,128.0
1,0,50,8.0,128.0
1,0,51,8.0,128.0
1,0,52,10.0,128.0
1,0,53,13.0,128.0
1,0,54,8.0,128.0
1,0,55,11.0,128.0
1,0,56,11.0,128.0
1,0,57,10.0,128.0
1,0,58,8.0,128.0
1,0,59,9.0,128.0
1,0,60,7.0,128.0
1,0,61,9.0,128.0
1,0,62,9.0,128.0
1,0,63,9.0,128.0
1,0,64,12.0,128.0
1,0,65,2.0,128.0
1,0,66,7.0,128.0
1,0,67,8.0,128.0
1,0,68,10.0,128.0
1,0,69,9.0,128.0
1,0,70,6.0,128.0
1,0,71,10.0,128.0
1,0,72,11.0,128.0
1,0,73,12.0,128.0
1,0,74,12.0,128.0
1,0,75,12.0,128.0
1,0,76,10.0,128.0
1,0,77,9.0,128.0
1,0,78,10.0,128.0
1,0,79,18.0,128.0
1,0,80,10.0,128.0
1,0,81,14.0,128.0
1,0,82,18.0,128.0
1,0,83,17.0,128.0
1,0,84,17.0,128.0
1,0,85,17.0,128.0
1,0,86,13.0,128.0
1,0,87,15.0,128.0
1,0,88,16.0,128.0
1,0,89,18.0,128.0
1,0,90,14.0,128.0
1,0,91,13.0,128.0
1,0,92,9.0,128.0
1,0,93,19.0,128.0
1,0,94,20.0,128.0
1,0,95,21.0,128.0
1,0,96,17.0,128.0
1,0,97,22.0,128.0
1,0,98,14.0,128.0
1,0,99,17.0,128.0
1,0,100,25.0,128.0
1,0,101,17.0,128.0
1,0,102,17.0,128.0
1,0,103,23.0,128.0
1,0,104,14.0,128.0
1,0,105,18.0,128.0
1,0,106,18.0,128.0
1,0,107,14.0,128.0
1,0,108,15.0,128.0
1,0,109,11.0,128.0
1,0,110,24.0,128.0
1,0,111,21.0,128.0
1,0,112,15.0,128.0
1,0,113,22.0,128.0
1,0,114,19.0,128.0
1,0,115,29.0,128.0
1,0,116,29.0,128.0
1,0,117,35.0,128.0
1,0,118,31.0,128.0
1,0,119,26.0,128.0
1,0,120,26.0,128.0
1,0,121,18.0,128.0
1,0,122,27.0,128.0
1,0,123,18.0,128.0
1,0,124,20.0,128.0
1,0,125,17.0,128.0
