seed,dataset,generation,new_selected,population
1,0,1,73.0,128.0
1,0,2,57.0,128.0
1,0,3,39.0,128.0
1,0,4,35.0,128.0
1,0,5,28.0,128.0
1,0,6,30.0,128.0
1,0,7,22.0,128.0
1,0,8,19.0,128.0
1,0,9,21.0,128.0
1,0,10,20.0,128.0
1,0,11,20.0,128.0
1,0,12,25.0,128.0
1,0,13,16.0,128.0
1,0,14,14.0,128.0
1,0,15,11.0,128.0
1,0,16,11.0,128.0
1,0,17,11.0,128.0
1,0,18,11.0,128.0
1,0,19,9.0,128.0
1,0,20,10.0,128.0
1,0,21,12.0,128.0
1,0,22,9.0,128.0
1,0,23,10.0,128.0
1,0,24,9.0,128.0
1,0,25,8.0,128.0
1,0,26,12.0,128.0
1,0,27,12.0,128.0
1,0,28,10.0,128.0
1,0,29,4.0,128.0
1,0,30,4.0,128.0
1,0,31,7.0,128.0
1,0,32,5.0,128.0
1,0,33,15.0,128.0
1,0,34,9.0,128.0
1,0,35,9.0,128.0
1,0,36,6.0,128.0
1,0,37,6.0,128.0
1,0,38,5.0,128.0
1,0,39,4.0,128.0
1,0,40,9.0,128.0
1,0,41,7.0,128.0
1,0,42,8.0,128.0
1,0,43,7.0,128.0
1,0,44,8.0,128.0
1,0,45,7.0,128.0
1,0,46,9.0,128.0
1,0,47,7.0,128.0
1,0,48,4.0,128.0
1,0,49,7.0,128.0
1,0,50,5.0,128.0
1,0,51,7.0,128.0
1,0,52,8.0,128.0
1,0,53,6.0,128.0
1,0,54,6.0,128.0
1,0,55,4.0,128.0
1,0,56,5.0,128.0
1,0,57,6.0,128.0
1,0,58,6.0,128.0
1,0,59,6.0,128.0
1,0,60,5.0,128.0
1,0,61,11.0,128.0
1,0,62,10.0,128.0
1,0,63,2.0,128.0
1,0,64,13.0,128.0
1,0,65,6.0,128.0
1,0,66,1.0,128.0
1,0,67,10.0,128.0
1,0,68,7.0,128.0
1,0,69,6.0,128.0
1,0,70,11.0,128.0
1,0,71,5.0,128.0
1,0,72,10.0,128.0
1,0,73,7.0,128.0
1,0,74,6.0,128.0
1,0,75,6.0,128.0
1,0,76,8.0,128.0
1,0,77,10.0,128.0
1,0,78,15.0,128.0
1,0,79,12.0,128.0
1,0,80,16.0,128.0
1,0,81,14.0,128.0
1,0,82,10.0,128.0
1,0,83,10.0,128.0
1,0,84,6.0,128.0
1,0,85,12.0,128.0
1,0,86,14.0,128.0
1,0,87,12.0,128.0
1,0,88,8.0,128.0
1,0,89,13.0,128.0
1,0,90,12.0,128.0
1,0,91,12.0,128.0
1,0,92,15.0,128.0
