num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
91,32,512,0,0,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.32656250,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.88505747,0.88319328,0.84531250,154,18,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.86781609,0.86857143,0.34453125,151,23,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.95977011,0.96000000,0.34687500,167,7,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.92528736,0.92508403,0.46582031,644,50,2,696,"model=mine,scope=overall,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.32812500,174,0,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.82758621,0.82857143,0.85234375,144,27,3,174,"model=mine,scope=dataset,dataset=1,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.86781609,0.86857143,0.34843750,151,23,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.34843750,173,0,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.92241379,0.92285714,0.46933594,642,50,4,696,"model=mine,scope=overall,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.35000000,174,0,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.78160920,0.78285714,0.85390625,136,36,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.85632184,0.85714286,0.36406250,149,25,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.33906250,171,2,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.90517241,0.90571429,0.47675781,630,63,3,696,"model=mine,scope=overall,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.98850575,0.98840336,0.34453125,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.86206897,0.86201681,0.85625000,150,23,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.86206897,0.86285714,0.34062500,150,24,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.33906250,170,3,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.92241379,0.92260504,0.47011719,642,52,2,696,"model=mine,scope=overall,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.33984375,173,1,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.80459770,0.80571429,0.87343750,140,32,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.87356322,0.87428571,0.35312500,152,22,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.93103448,0.93142857,0.33828125,162,10,2,174,"model=mine,scope=dataset,dataset=3,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.90086207,0.90142857,0.47617188,627,65,4,696,"model=mine,scope=overall,phase=test"
141,32,512,0,0,0,0,5,100,1,0.000000,0.97701149,0.97697479,0.33125000,170,4,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
141,32,512,0,0,0,0,5,100,1,0.000000,0.83333333,0.83411765,0.85000000,145,27,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
141,32,512,0,0,0,0,5,100,1,0.000000,0.86206897,0.86285714,0.35312500,150,24,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
141,32,512,0,0,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.33203125,170,3,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
141,32,512,0,0,0,0,5,100,1,0.000000,0.91235632,0.91277311,0.46660156,635,58,3,696,"model=mine,scope=overall,phase=test"
151,32,512,0,0,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.34218750,174,0,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
151,32,512,0,0,0,0,5,100,1,0.000000,0.85632184,0.85563025,0.84843750,149,24,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
151,32,512,0,0,0,0,5,100,1,0.000000,0.86206897,0.86285714,0.35000000,150,24,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
151,32,512,0,0,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.35859375,172,1,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
151,32,512,0,0,0,0,5,100,1,0.000000,0.92672414,0.92676471,0.47480469,645,49,2,696,"model=mine,scope=overall,phase=test"
21,32,1024,0,0,0,0,5,100,1,0.000000,0.99425287,0.99411765,0.34531250,173,1,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,1024,0,0,0,0,5,100,1,0.000000,0.40229885,0.40000000,0.99140625,70,102,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,1024,0,0,0,0,5,100,1,0.000000,0.91379310,0.91428571,0.35898438,159,14,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,1024,0,0,0,0,5,100,1,0.000000,0.79885057,0.80000000,0.38242188,139,34,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,1024,0,0,0,0,5,100,1,0.000000,0.77729885,0.77710084,0.51953125,541,151,4,696,"model=mine,scope=overall,phase=test"
31,32,1024,0,0,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.32500000,174,0,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,1024,0,0,0,0,5,100,1,0.000000,0.55172414,0.54857143,0.94882813,96,75,3,174,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,1024,0,0,0,0,5,100,1,0.000000,0.87931034,0.88000000,0.34140625,153,20,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,1024,0,0,0,0,5,100,1,0.000000,0.87356322,0.87428571,0.37734375,152,21,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,1024,0,0,0,0,5,100,1,0.000000,0.82614943,0.82571429,0.49814453,575,116,5,696,"model=mine,scope=overall,phase=test"
