seed,dataset,myModel5_test_acc,myModel4_test_acc,test_diff_myModel5_minus_myModel4,myModel5_val_acc,myModel4_val_acc,val_diff_myModel5_minus_myModel4
1,0,98.97,98.62,0.3499999999999943,91.224,91.224,0.0
1,1,98.28,100.0,-1.7199999999999989,100.0,100.0,0.0
1,2,86.55,86.55,0.0,87.067,86.605,0.4619999999999891
1,3,99.66,99.66,0.0,100.0,100.0,0.0
2,0,98.28,98.62,-0.3400000000000034,91.224,91.224,0.0
2,1,95.17,94.14,1.0300000000000011,100.0,100.0,0.0
2,2,84.48,84.83,-0.3499999999999943,85.219,85.681,-0.4620000000000033
2,3,98.62,99.66,-1.039999999999992,100.0,99.769,0.23099999999999454
3,0,98.62,98.62,0.0,91.455,91.224,0.23099999999999454
3,1,93.1,93.1,0.0,100.0,100.0,0.0
3,2,85.17,85.17,0.0,84.065,83.834,0.23099999999999454
3,3,98.97,99.31,-0.3400000000000034,100.0,99.769,0.23099999999999454
4,0,98.62,98.62,0.0,91.224,91.224,0.0
4,1,94.83,97.59,-2.760000000000005,100.0,100.0,0.0
4,2,85.17,85.17,0.0,84.296,84.527,-0.23099999999999454
4,3,98.97,97.93,1.039999999999992,100.0,100.0,0.0
5,0,98.62,98.62,0.0,90.531,90.3,0.23100000000000875
5,1,96.55,95.17,1.3799999999999955,100.0,100.0,0.0
5,2,86.55,87.24,-0.6899999999999977,86.374,85.45,0.9239999999999924
5,3,99.66,99.66,0.0,100.0,100.0,0.0
