seed,dataset,myModel4_test_acc,myModel3_test_acc,test_diff_myModel4_minus_myModel3,myModel4_val_acc,myModel3_val_acc,val_diff_myModel4_minus_myModel3
1,0,98.62,99.31,-0.6899999999999977,91.224,91.224,0.0
1,1,100.0,97.93,2.069999999999993,100.0,100.0,0.0
1,2,86.55,86.55,0.0,86.605,86.836,-0.23099999999999454
1,3,99.66,98.28,1.3799999999999955,100.0,100.0,0.0
2,0,98.62,98.62,0.0,91.224,90.993,0.23100000000000875
2,1,94.14,98.62,-4.480000000000004,100.0,100.0,0.0
2,2,84.83,84.48,0.3499999999999943,85.681,84.988,0.6929999999999978
2,3,99.66,98.28,1.3799999999999955,99.769,100.0,-0.23099999999999454
3,0,98.62,98.62,0.0,91.224,91.224,0.0
3,1,93.1,93.79,-0.6900000000000119,100.0,100.0,0.0
3,2,85.17,85.17,0.0,83.834,83.372,0.4620000000000033
3,3,99.31,99.66,-0.3499999999999943,99.769,99.769,0.0
4,0,98.62,98.97,-0.3499999999999943,91.224,90.993,0.23100000000000875
4,1,97.59,95.17,2.4200000000000017,100.0,100.0,0.0
4,2,85.17,86.21,-1.039999999999992,84.527,84.527,0.0
4,3,97.93,98.28,-0.3499999999999943,100.0,100.0,0.0
5,0,98.62,98.62,0.0,90.3,90.3,0.0
5,1,95.17,94.48,0.6899999999999977,100.0,100.0,0.0
5,2,87.24,86.21,1.0300000000000011,85.45,85.45,0.0
5,3,99.66,99.66,0.0,100.0,100.0,0.0
