seed,dataset,myModel6_test_acc,naiveModel_test_acc,test_diff_myModel6_minus_naiveModel,myModel6_val_acc,naiveModel_val_acc,val_diff_myModel6_minus_naiveModel
1,0,98.62,98.97,-0.3499999999999943,91.224,91.686,-0.4620000000000033
1,1,98.97,93.79,5.179999999999993,100.0,100.0,0.0
1,2,86.21,86.9,-0.6900000000000119,87.067,86.374,0.6929999999999978
1,3,99.66,98.28,1.3799999999999955,100.0,100.0,0.0
2,0,98.62,98.62,0.0,91.455,92.379,-0.9240000000000066
2,1,96.21,97.24,-1.0300000000000011,100.0,100.0,0.0
2,2,85.17,84.48,0.6899999999999977,85.681,85.45,0.23099999999999454
2,3,99.31,99.66,-0.3499999999999943,99.769,99.769,0.0
3,0,98.62,97.59,1.0300000000000011,91.455,91.455,0.0
3,1,91.38,94.48,-3.1000000000000085,100.0,100.0,0.0
3,2,85.17,85.17,0.0,84.065,85.681,-1.6159999999999997
3,3,98.62,99.31,-0.6899999999999977,99.769,99.769,0.0
4,0,98.62,97.59,1.0300000000000011,91.224,91.224,0.0
4,1,94.48,94.83,-0.3499999999999943,100.0,100.0,0.0
4,2,85.17,84.83,0.3400000000000034,83.834,85.45,-1.6159999999999997
4,3,98.28,98.62,-0.3400000000000034,100.0,100.0,0.0
5,0,99.31,98.62,0.6899999999999977,90.531,91.224,-0.6929999999999978
5,1,95.52,93.79,1.7299999999999898,100.0,100.0,0.0
5,2,86.21,84.48,1.7299999999999898,85.912,85.912,0.0
5,3,99.66,99.66,0.0,100.0,100.0,0.0
