dataset,generation,adaptive_mean,adaptive_std,naive_mean,naive_std
0,1,35.6,2.4166091947189146,35.6,2.4166091947189146
0,2,28.6,5.161395160225576,30.6,2.8000000000000003
0,3,22.6,5.535341001239218,23.6,3.49857113690718
0,4,18.4,2.8705400188814645,19.6,5.122499389946279
0,5,17.2,4.166533331199932,19.0,4.604345773288535
0,6,14.2,3.867815921162743,14.2,2.993325909419153
0,7,12.8,2.7129319932501073,12.2,2.315167380558045
0,8,10.6,2.4166091947189146,13.4,2.1540659228538015
0,9,10.6,2.4166091947189146,10.4,3.6110940170535577
0,10,10.8,1.7204650534085253,9.2,1.469693845669907
0,11,11.2,2.993325909419153,10.2,2.2271057451320084
0,12,9.2,2.3151673805580453,9.6,1.9595917942265424
0,13,10.2,2.5612496949731396,9.2,3.6
0,14,6.8,3.54400902933387,7.0,1.8973665961010275
0,15,8.6,2.8000000000000003,7.6,1.4966629547095764
0,16,7.2,1.6,7.0,1.0954451150103321
0,17,5.2,0.9797958971132712,7.6,1.4966629547095764
0,18,5.0,1.4142135623730951,4.8,1.7204650534085253
0,19,7.2,1.9390719429665317,5.6,0.7999999999999999
0,20,6.0,1.8973665961010275,5.2,0.7483314773547882
0,21,6.0,2.1908902300206643,5.8,1.9390719429665317
0,22,4.2,1.469693845669907,6.0,0.8944271909999159
0,23,6.0,1.8973665961010275,4.2,2.6381811916545836
0,24,5.4,1.8547236990991407,5.2,2.1354156504062622
0,25,6.6,2.0591260281974,4.6,3.3823069050575527
0,26,6.6,2.8000000000000003,6.0,2.0
0,27,4.8,2.227105745132009,3.0,0.8944271909999159
0,28,4.2,2.0396078054371136,4.6,2.33238075793812
0,29,3.8,0.7483314773547882,4.8,1.9390719429665317
0,30,4.2,1.7204650534085253,5.4,1.7435595774162693
0,31,3.6,1.019803902718557,5.6,2.244994432064365
0,32,5.0,0.6324555320336759,5.0,1.7888543819998317
0,33,3.8,1.16619037896906,3.6,0.8
0,34,4.2,0.7483314773547882,7.0,1.0954451150103321
0,35,6.2,1.469693845669907,6.8,2.6381811916545836
0,36,5.6,1.3564659966250536,6.4,2.5768197453450252
0,37,3.6,1.4966629547095764,7.0,2.756809750418044
