num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
91,32,512,0,0,0,0,5,100,1,0.000000,0.96896552,0.97315754,0.34453125,843,23,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.96666667,0.97080460,0.85312500,841,25,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.84827586,0.84968222,0.36718750,738,128,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.98505747,0.98965517,0.36328125,857,9,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.94224138,0.94582488,0.48203125,3279,185,0,3480,"model=mine,scope=overall,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.95977011,0.96377282,0.34921875,835,31,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.95172414,0.95551048,0.85781250,828,38,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.85402299,0.85551048,0.36484375,743,123,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.98275862,0.98735632,0.37421875,855,11,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.93706897,0.94053753,0.48652344,3261,203,0,3480,"model=mine,scope=overall,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.97356322,0.97786342,0.33437500,847,19,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.81034483,0.81423935,0.84765625,705,161,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.84942529,0.85083164,0.35859375,739,127,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.97816092,0.98262339,0.37031250,851,15,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.90287356,0.90638945,0.47773438,3142,322,0,3480,"model=mine,scope=overall,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.97356322,0.97789047,0.33437500,847,19,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.70344828,0.70739689,0.85234375,612,254,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.84712644,0.84850575,0.36093750,737,129,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.93908046,0.94259635,0.35859375,817,49,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.86580460,0.86909736,0.47656250,3013,451,0,3480,"model=mine,scope=overall,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.97356322,0.97786342,0.34921875,847,19,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.94367816,0.94743746,0.85625000,821,45,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.84252874,0.84374577,0.38281250,733,133,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.94712644,0.95083164,0.36640625,824,42,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
