n_gram_size,dataset,phase,seeds,mean_accuracy,std_accuracy,min_accuracy,max_accuracy
9,2,preopt-validation,5,0.830030958,0.00980989487020609,0.81501548,0.84520124
9,2,preopt-test,5,0.84686775,0.009538189342714906,0.83294664,0.86078886
9,3,preopt-validation,5,0.965944272,0.0016235446554179016,0.96439628,0.96904025
9,3,preopt-test,5,0.99025522,0.003078076552309888,0.98491879,0.99419954
10,0,preopt-validation,5,0.893725796,0.003408209363637162,0.89000775,0.90007746
10,0,preopt-test,5,0.9883856,0.0026484906914543164,0.98606272,0.99303136
10,1,preopt-validation,5,0.84213788,0.0037115884999498537,0.83810999,0.84817971
10,1,preopt-test,5,0.96167247,0.007308771291712418,0.94889663,0.96864111
10,2,preopt-validation,5,0.835786214,0.00880450454503967,0.82494191,0.8489543
10,2,preopt-test,5,0.8513356559999999,0.01702213480348055,0.82810685,0.87224158
10,3,preopt-validation,5,0.965762974,0.0016540783520692394,0.96359411,0.96824167
10,3,preopt-test,5,0.990011616,0.005811843903181165,0.97909408,0.99651568
