run_index,total_runs,timestamp,item_mem_seed,num_levels,vector_dimension,use_genetic_item_memory,binning_mode,output_mode,log_file,duration_sec
1,5220,2026-04-23T03:51:56.688105,9,5,201,0,0,2,run_levels_005_dim_00201.txt,1.094
2,5220,2026-04-23T03:51:57.736179,9,5,251,0,0,2,run_levels_005_dim_00251.txt,1.045
3,5220,2026-04-23T03:51:58.814645,9,5,301,0,0,2,run_levels_005_dim_00301.txt,1.075
4,5220,2026-04-23T03:51:59.902900,9,5,351,0,0,2,run_levels_005_dim_00351.txt,1.085
5,5220,2026-04-23T03:52:01.055106,9,5,401,0,0,2,run_levels_005_dim_00401.txt,1.149
6,5220,2026-04-23T03:52:02.233765,9,5,451,0,0,2,run_levels_005_dim_00451.txt,1.176
7,5220,2026-04-23T03:52:03.389923,9,5,501,0,0,2,run_levels_005_dim_00501.txt,1.153
8,5220,2026-04-23T03:52:04.525138,9,5,551,0,0,2,run_levels_005_dim_00551.txt,1.132
9,5220,2026-04-23T03:52:05.646308,9,5,601,0,0,2,run_levels_005_dim_00601.txt,1.118
10,5220,2026-04-23T03:52:06.772867,9,5,651,0,0,2,run_levels_005_dim_00651.txt,1.123
11,5220,2026-04-23T03:52:07.940659,9,5,701,0,0,2,run_levels_005_dim_00701.txt,1.164
12,5220,2026-04-23T03:52:09.142725,9,5,751,0,0,2,run_levels_005_dim_00751.txt,1.198
13,5220,2026-04-23T03:52:10.498312,9,5,801,0,0,2,run_levels_005_dim_00801.txt,1.353
14,5220,2026-04-23T03:52:11.910016,9,5,851,0,0,2,run_levels_005_dim_00851.txt,1.409
15,5220,2026-04-23T03:52:13.348628,9,5,901,0,0,2,run_levels_005_dim_00901.txt,1.435
16,5220,2026-04-23T03:52:14.663461,9,5,951,0,0,2,run_levels_005_dim_00951.txt,1.312
17,5220,2026-04-23T03:52:15.980357,9,5,1000,0,0,2,run_levels_005_dim_01000.txt,1.314
18,5220,2026-04-23T03:52:17.439137,9,5,1500,0,0,2,run_levels_005_dim_01500.txt,1.455
19,5220,2026-04-23T03:52:19.058028,9,5,2000,0,0,2,run_levels_005_dim_02000.txt,1.616
20,5220,2026-04-23T03:52:20.802906,9,5,2500,0,0,2,run_levels_005_dim_02500.txt,1.742
21,5220,2026-04-23T03:52:22.715963,9,5,3000,0,0,2,run_levels_005_dim_03000.txt,1.910
22,5220,2026-04-23T03:52:24.909637,9,5,3500,0,0,2,run_levels_005_dim_03500.txt,2.190
23,5220,2026-04-23T03:52:27.445635,9,5,4000,0,0,2,run_levels_005_dim_04000.txt,2.532
24,5220,2026-04-23T03:52:30.549788,9,5,4500,0,0,2,run_levels_005_dim_04500.txt,3.101
25,5220,2026-04-23T03:52:33.245373,9,5,5000,0,0,2,run_levels_005_dim_05000.txt,2.693
26,5220,2026-04-23T03:52:36.547496,9,5,5500,0,0,2,run_levels_005_dim_05500.txt,3.299
27,5220,2026-04-23T03:52:40.188308,9,5,6000,0,0,2,run_levels_005_dim_06000.txt,3.637
28,5220,2026-04-23T03:52:44.210916,9,5,6500,0,0,2,run_levels_005_dim_06500.txt,4.019
29,5220,2026-04-23T03:52:47.836846,9,5,7000,0,0,2,run_levels_005_dim_07000.txt,3.623
30,5220,2026-04-23T03:52:51.497309,9,5,7500,0,0,2,run_levels_005_dim_07500.txt,3.657
31,5220,2026-04-23T03:52:54.744031,9,5,8000,0,0,2,run_levels_005_dim_08000.txt,3.244
32,5220,2026-04-23T03:52:59.506803,9,5,8500,0,0,2,run_levels_005_dim_08500.txt,4.760
33,5220,2026-04-23T03:53:04.983884,9,5,9000,0,0,2,run_levels_005_dim_09000.txt,5.475
34,5220,2026-04-23T03:53:09.429307,9,5,9500,0,0,2,run_levels_005_dim_09500.txt,4.442
35,5220,2026-04-23T03:53:13.670128,9,5,10000,0,0,2,run_levels_005_dim_10000.txt,4.238
36,5220,2026-04-23T03:53:20.037315,9,5,11000,0,0,2,run_levels_005_dim_11000.txt,6.363
37,5220,2026-04-23T03:53:26.457102,9,5,12000,0,0,2,run_levels_005_dim_12000.txt,6.416
38,5220,2026-04-23T03:53:31.880541,9,5,13000,0,0,2,run_levels_005_dim_13000.txt,5.420
39,5220,2026-04-23T03:53:39.623152,9,5,14000,0,0,2,run_levels_005_dim_14000.txt,7.739
