seed,dataset,generation,avg_accuracy,max_accuracy,avg_similarity,max_similarity,new_selected,population
1,0,1,86.12415625,90.561,0.2734375,0.305,73,128
1,0,2,87.6135546875,90.561,0.2647109375,0.295,56,128
1,0,3,88.42709375000001,90.794,0.26334375,0.302,35,128
1,0,4,88.6131484375,90.794,0.26190625,0.292,26,128
1,0,5,88.69092968749999,90.794,0.260234375,0.291,22,128
1,0,6,88.7916875,90.794,0.26021875,0.291,26,128
1,0,7,88.70590625,90.794,0.25965625,0.291,18,128
1,0,8,88.80360937500001,90.794,0.25970312500000003,0.291,13,128
1,0,9,88.8669140625,90.794,0.25971875000000005,0.291,16,128
1,0,10,89.001203125,90.794,0.25857031250000007,0.291,22,128
1,0,11,89.135265625,90.794,0.2581171875,0.291,16,128
1,0,12,89.102109375,91.024,0.25734375,0.291,20,128
1,0,13,89.2543125,91.024,0.2574296875,0.291,9,128
1,0,14,89.2216640625,91.024,0.25678124999999996,0.291,14,128
1,0,15,89.23915625000001,91.024,0.2565703125,0.29,14,128
1,0,16,89.179125,91.024,0.255859375,0.29,17,128
1,0,17,89.3038828125,91.024,0.25514843750000005,0.286,15,128
1,0,18,89.36882031249999,91.024,0.25453125,0.286,16,128
1,0,19,89.37411718749999,91.024,0.2538125,0.286,9,128
1,0,20,89.4555,91.024,0.2537578125,0.286,16,128
1,0,21,89.326671875,91.024,0.2525234375,0.286,17,128
1,0,22,89.35946093749999,91.024,0.25193750000000004,0.286,16,128
1,0,23,89.2958984375,91.024,0.2506640625,0.286,13,128
1,0,24,89.34275,91.024,0.25034375,0.286,12,128
1,0,25,89.2770078125,91.254,0.24990625,0.286,15,128
1,0,26,89.28390624999999,91.254,0.24959375000000003,0.286,7,128
1,0,27,89.30195312499998,91.254,0.249453125,0.286,10,128
1,0,28,89.29828125,91.254,0.24903124999999998,0.286,8,128
1,0,29,89.36009375,91.254,0.24856250000000002,0.286,12,128
1,0,30,89.4216328125,91.254,0.24834375,0.286,8,128
1,0,31,89.4581328125,91.254,0.24803125,0.286,10,128
1,0,32,89.3476640625,91.254,0.24762499999999998,0.286,9,128
1,0,33,89.3328359375,91.254,0.2473828125,0.28,11,128
1,0,34,89.3525625,91.254,0.24746875,0.28,13,128
1,0,35,89.27424218750001,91.254,0.2466875,0.28,12,128
1,0,36,89.2598828125,91.481,0.24575000000000002,0.28,10,128
1,0,37,89.23457812500001,91.481,0.2454140625,0.28,4,128
1,0,38,89.223703125,91.481,0.24514843749999998,0.28,9,128
1,0,39,89.41397656250001,91.481,0.24547656250000002,0.28,14,128
1,0,40,89.43364062500001,91.481,0.2452734375,0.28,12,128
1,0,41,89.496890625,91.481,0.245078125,0.28,11,128
1,0,42,89.4659609375,91.713,0.24455468749999998,0.28,7,128
1,0,43,89.40603906250001,91.713,0.24439062499999997,0.28,10,128
1,0,44,89.487671875,91.943,0.24365625000000002,0.278,13,128
1,0,45,89.45154687499999,91.943,0.24303125,0.278,9,128
1,0,46,89.4676484375,91.943,0.2428671875,0.278,16,128
1,0,47,89.5113046875,91.943,0.242078125,0.278,10,128
1,0,48,89.45161718749999,91.943,0.2414453125,0.278,12,128
1,0,49,89.45159375,91.943,0.24121093750000003,0.278,11,128
1,0,50,89.547296875,91.943,0.24121093750000003,0.278,11,128
1,0,51,89.5271875,91.943,0.241109375,0.278,14,128
1,0,52,89.4927890625,91.943,0.24035156250000003,0.273,12,128
1,0,53,89.51290625000001,91.943,0.23985937499999999,0.273,14,128
1,0,54,89.641375,91.943,0.240078125,0.273,9,128
