num_levels,num_features,vector_dimension,binning_mode,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,ga_mutation_rate,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
40,32,10000,0,0,1,1,0,0.200000,3,100,1,0.300000,0.94453005,0.94440451,0.35528000,1226,70,2,1298,"model=mine,scope=dataset,dataset=3,phase=preopt-validation"
40,32,10000,0,0,1,1,0,0.200000,3,100,1,0.300000,0.95391705,0.95375723,0.35528000,828,40,0,868,"model=mine,scope=dataset,dataset=3,phase=preopt-test"
40,32,10000,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96841294,0.96834274,0.35216000,1257,39,2,1298,"model=mine,scope=dataset,dataset=3,phase=postopt-validation"
40,32,10000,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98156682,0.98150289,0.35216000,852,16,0,868,"model=mine,scope=dataset,dataset=3,phase=postopt-test"
40,32,10000,0,0,1,1,0,0.200000,3,100,1,0.300000,0.94453005,0.00000000,0.00000000,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
40,32,10000,0,0,1,1,0,0.200000,3,100,1,0.300000,0.95391705,0.00000000,0.00000000,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
40,32,10000,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96841294,0.00000000,0.00000000,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
40,32,10000,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98156682,0.00000000,0.00000000,0,0,0,0,"model=mine,scope=overall,phase=postopt-test"
