seed,dataset,generation,avg_accuracy,max_accuracy,avg_similarity,max_similarity,new_selected,population
1,1,1,78.4098125,83.205,0.702125,0.802,73,128
1,1,2,80.2279609375,83.205,0.6866640625,0.802,68,128
1,1,3,80.5691015625,83.205,0.6767265625000001,0.719,52,128
1,1,4,80.8741875,83.205,0.6710546875000001,0.719,47,128
1,1,5,81.08315625,83.205,0.6680390625,0.719,34,128
1,1,6,81.31482812499999,83.205,0.6671640624999999,0.719,36,128
1,1,7,81.2292890625,83.205,0.6642421875000001,0.719,26,128
1,1,8,81.23444531249999,83.205,0.6626640625,0.702,26,128
1,1,9,81.29566406250001,83.205,0.6615,0.702,25,128
1,1,10,81.3605859375,83.205,0.6607578125,0.702,16,128
1,1,11,81.425609375,83.205,0.660046875,0.702,21,128
1,1,12,81.43662499999999,83.205,0.65875,0.702,16,128
1,1,13,81.550828125,83.205,0.6589765625,0.702,15,128
1,1,14,81.492875,83.205,0.6584765625000001,0.702,14,128
1,1,15,81.50353125,83.205,0.6575390625,0.702,12,128
1,1,16,81.57780468749999,83.205,0.6577890625,0.702,10,128
1,1,17,81.59234375,83.205,0.6575703125,0.702,11,128
1,1,18,81.6213125,83.205,0.6577421875,0.702,10,128
1,1,19,81.64128124999999,83.205,0.657140625,0.702,11,128
1,1,20,81.6448515625,83.205,0.6568671875000001,0.702,9,128
1,1,21,81.605015625,83.205,0.65615625,0.702,10,128
1,1,22,81.58689843750001,83.205,0.6555546875,0.702,10,128
1,1,23,81.59952343750001,83.205,0.6555625,0.702,9,128
1,1,24,81.66128125,83.205,0.655625,0.702,8,128
1,1,25,81.672078125,83.205,0.65540625,0.698,6,128
1,1,26,81.65392187500001,83.205,0.654625,0.698,7,128
1,1,27,81.67574218749999,83.205,0.654578125,0.698,8,128
1,1,28,81.67211718749999,83.205,0.6542734375,0.698,6,128
1,1,29,81.7139375,83.205,0.6542734375,0.698,12,128
1,1,30,81.81009375,83.205,0.6549375,0.698,5,128
1,1,31,81.7865546875,83.205,0.6545078125,0.698,7,128
1,1,32,81.7666015625,83.205,0.6538359375,0.698,8,128
1,1,33,81.715796875,83.205,0.6533359375000001,0.698,8,128
1,1,34,81.69225,83.205,0.6526796875,0.698,6,128
1,1,35,81.64321093749999,83.435,0.6526484375000001,0.698,4,128
1,1,36,81.6577265625,83.435,0.6524531250000001,0.698,3,128
1,1,37,81.63414843749999,83.435,0.6522734375000001,0.698,5,128
1,1,38,81.65977343750001,83.435,0.652328125,0.698,5,128
1,1,39,81.66334375,83.435,0.6521250000000001,0.693,4,128
1,1,40,81.65797656250001,83.435,0.6518750000000001,0.693,6,128
1,1,41,81.7268359375,83.435,0.6523203125000001,0.693,6,128
1,1,42,81.74142968749999,83.435,0.6523515625,0.688,6,128
1,1,43,81.726921875,83.435,0.6519921875000001,0.688,6,128
1,1,44,81.7450234375,83.435,0.6520078125000001,0.688,4,128
1,1,45,81.73596093750001,83.435,0.6514843750000001,0.688,3,128
1,1,46,81.67796093749999,83.435,0.6508750000000001,0.688,4,128
1,1,47,81.6834296875,83.435,0.6507734375,0.688,3,128
1,1,48,81.6635234375,83.435,0.6506718750000001,0.688,7,128
1,1,49,81.696015625,83.435,0.6508046875000001,0.688,3,128
1,1,50,81.72675,83.435,0.6509687500000001,0.688,4,128
1,1,51,81.712171875,83.435,0.6507109375,0.687,5,128
1,1,52,81.67053125,83.435,0.6502578125,0.687,3,128
1,1,53,81.6741640625,83.435,0.649921875,0.687,4,128
1,1,54,81.6414609375,83.435,0.6495625,0.687,1,128
1,1,55,81.64148437499999,83.435,0.649578125,0.687,3,128
1,1,56,81.67233593750001,83.435,0.6496171875,0.687,4,128
1,1,57,81.6975625,83.435,0.6495,0.687,6,128
1,1,58,81.666515625,83.435,0.6490390625,0.687,5,128
1,1,59,81.6774375,83.435,0.6492734375,0.697,7,128
1,1,60,81.66467187500001,83.435,0.6490234375,0.697,4,128
1,1,61,81.61925,83.435,0.6483984375,0.687,6,128
1,1,62,81.64653125,83.435,0.6483671875,0.687,3,128
1,1,63,81.68102343749999,83.435,0.6484765625,0.687,4,128
1,1,64,81.70099218749999,83.435,0.6486015624999999,0.687,2,128
1,1,65,81.7046484375,83.435,0.648359375,0.687,2,128
1,1,66,81.719203125,83.435,0.6483671875,0.687,6,128
1,1,67,81.7499375,83.435,0.6487031249999999,0.692,0,128
1,1,68,81.7499375,83.435,0.6487031249999999,0.692,2,128
1,1,69,81.7589765625,83.435,0.6487499999999999,0.692,0,128
1,1,70,81.7589765625,83.435,0.6487499999999999,0.692,5,128
1,1,71,81.784390625,83.435,0.6488359375,0.692,7,128
1,1,72,81.8189140625,83.435,0.6487031249999999,0.692,4,128
1,1,73,81.77169531250001,83.435,0.6482265625,0.692,7,128
1,1,74,81.81172656249998,83.435,0.6483828125,0.692,2,128
1,1,75,81.79356250000001,83.435,0.64815625,0.692,4,128
1,1,76,81.79903125,83.435,0.648203125,0.692,2,128
1,1,77,81.83175,83.435,0.6485624999999999,0.692,7,128
1,1,78,81.8479609375,83.435,0.6486171875,0.692,3,128
1,1,79,81.83525,83.435,0.648328125,0.692,3,128
1,1,80,81.81718749999999,83.435,0.6480625,0.692,1,128
1,1,81,81.82802343750001,83.435,0.6484296875,0.696,2,128
1,1,82,81.8388046875,83.435,0.64871875,0.696,3,128
1,1,83,81.8515703125,83.435,0.6487109375,0.696,4,128
1,1,84,81.853390625,83.435,0.6485859375,0.696,4,128
1,1,85,81.878828125,83.435,0.6485703125,0.696,6,128
1,1,86,81.90060937499999,83.435,0.6489765625,0.703,2,128
1,1,87,81.89517187499999,83.435,0.6488828125000001,0.703,3,128
1,1,88,81.8933828125,83.435,0.6487031249999999,0.703,2,128
1,1,89,81.89699218749999,83.435,0.64896875,0.703,2,128
1,1,90,81.85884375,83.435,0.648578125,0.703,3,128
1,1,91,81.82981249999999,83.435,0.6482734375000001,0.696,1,128
1,1,92,81.84611718749998,83.435,0.6483046874999999,0.696,2,128
1,1,93,81.840671875,83.435,0.6482265625000001,0.696,2,128
1,1,94,81.8461015625,83.435,0.6482421875000001,0.696,1,128
1,1,95,81.85334375,83.435,0.6483125000000001,0.696,0,128
1,1,96,81.85334375,83.435,0.6483125000000001,0.696,1,128
1,1,97,81.86246874999999,83.435,0.6483046875,0.696,2,128
1,1,98,81.862453125,83.435,0.648171875,0.696,3,128
1,1,99,81.8788125,83.435,0.648140625,0.692,2,128
1,1,100,81.88791406249999,83.435,0.6482812499999999,0.692,2,128
1,1,101,81.86066406249999,83.435,0.6480859375,0.692,5,128
1,1,102,81.83889843749999,83.435,0.6477187499999999,0.692,4,128
1,1,103,81.86080468749999,83.435,0.6478828125,0.692,2,128
1,1,104,81.8353671875,83.435,0.6475546875,0.692,4,128
1,1,105,81.82095312499999,83.435,0.6473359375000001,0.692,4,128
1,1,106,81.85179687499999,83.435,0.6472734375,0.691,2,128
1,1,107,81.826421875,83.435,0.6469843750000001,0.691,3,128
1,1,108,81.859,83.435,0.647234375,0.689,2,128
1,1,109,81.859015625,83.435,0.6468203125,0.688,3,128
1,1,110,81.8463125,83.435,0.6465234375,0.688,2,128
1,1,111,81.84266406249999,83.435,0.6464609375000001,0.688,2,128
1,1,112,81.84454687499999,83.435,0.6463281249999999,0.687,2,128
