scope,dataset,num_levels,ga_dim,ga_acc,baseline_eq_dim,baseline_eq_acc,reduction_fraction,reduction_percent
dataset,0,91,512,0.979310,1024,0.989655,0.500000,50.000
dataset,1,91,512,0.796552,512,0.844828,0.000000,0.000
overall,,91,512,0.910345,2048,0.922414,0.750000,75.000
dataset,0,91,1024,0.986207,1024,0.989655,0.000000,0.000
dataset,3,91,1024,0.986207,2048,0.986207,0.500000,50.000
dataset,0,91,2048,0.986207,1024,0.989655,-1.000000,-100.000
dataset,1,91,2048,0.841379,512,0.844828,-3.000000,-300.000
dataset,3,91,2048,0.993103,8192,0.993103,0.750000,75.000
overall,,91,2048,0.918966,2048,0.922414,0.000000,0.000
dataset,0,91,4096,0.986207,1024,0.989655,-3.000000,-300.000
dataset,1,91,4096,0.800000,512,0.844828,-7.000000,-700.000
dataset,2,91,4096,0.851724,4096,0.851724,0.000000,0.000
dataset,3,91,4096,0.993103,8192,0.993103,0.500000,50.000
overall,,91,4096,0.907759,2048,0.922414,-1.000000,-100.000
dataset,0,91,8192,0.986207,1024,0.989655,-7.000000,-700.000
dataset,1,91,8192,0.786207,512,0.844828,-15.000000,-1500.000
dataset,2,91,8192,0.851724,4096,0.851724,-1.000000,-100.000
dataset,3,91,8192,0.993103,8192,0.993103,0.000000,0.000
overall,,91,8192,0.904310,512,0.905172,-15.000000,-1500.000

scope,dataset,ga_dim,mean_eq_dim,mean_reduction_percent,n
dataset,0,512,1024.000,50.000,1
dataset,0,1024,1024.000,0.000,1
dataset,0,2048,1024.000,-100.000,1
dataset,0,4096,1024.000,-300.000,1
dataset,0,8192,1024.000,-700.000,1
dataset,1,512,512.000,0.000,1
dataset,1,2048,512.000,-300.000,1
dataset,1,4096,512.000,-700.000,1
dataset,1,8192,512.000,-1500.000,1
dataset,2,4096,4096.000,0.000,1
dataset,2,8192,4096.000,-100.000,1
dataset,3,1024,2048.000,50.000,1
dataset,3,2048,8192.000,75.000,1
dataset,3,4096,8192.000,50.000,1
dataset,3,8192,8192.000,0.000,1
overall,,512,2048.000,75.000,1
overall,,2048,2048.000,0.000,1
overall,,4096,2048.000,-100.000,1
overall,,8192,512.000,-1500.000,1
