0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.773757,-0.774111,-0.729287,-0.751479,-0.682052,-0.738356,-0.723240,-0.728869,-1.000000,-0.711506,-0.529286,-0.578451,-0.603575,-0.554846,-0.704449,-0.732599,-0.750556,-0.735329,-0.726942,-0.721062,-0.631437,-0.721260,-0.663219,-0.696734,-0.700396,-0.580901,-0.475539,-0.523319,-0.648426,-0.619532,-0.708660,-0.737917
-0.791049,-0.789717,-0.739283,-0.757641,-0.708805,-0.763470,-0.743896,-0.734962,-1.000000,-0.694739,-0.514022,-0.564384,-0.590613,-0.545109,-0.696819,-0.729452,-0.760909,-0.751275,-0.737862,-0.731740,-0.660313,-0.746971,-0.685072,-0.709931,-0.705908,-0.580810,-0.463055,-0.511157,-0.651615,-0.611771,-0.698165,-0.731934
-0.793509,-0.790604,-0.732752,-0.762325,-0.704721,-0.740557,-0.724835,-0.716032,-1.000000,-0.700981,-0.483873,-0.556200,-0.598484,-0.541642,-0.688833,-0.722150,-0.755298,-0.744699,-0.724222,-0.730736,-0.669989,-0.738907,-0.662106,-0.683324,-0.708220,-0.531051,-0.441957,-0.508379,-0.651744,-0.605920,-0.692000,-0.725276
-0.799190,-0.798004,-0.748526,-0.772245,-0.722868,-0.767020,-0.751378,-0.743975,-1.000000,-0.708852,-0.510937,-0.562560,-0.586271,-0.508332,-0.689744,-0.729481,-0.765452,-0.755119,-0.733407,-0.734166,-0.676475,-0.757560,-0.686683,-0.720241,-0.707754,-0.560938,-0.451676,-0.500048,-0.639802,-0.570116,-0.691071,-0.731476
-0.796839,-0.794452,-0.741053,-0.763277,-0.717388,-0.764796,-0.752796,-0.743331,-1.000000,-0.713036,-0.516426,-0.567284,-0.604021,-0.542851,-0.697135,-0.729864,-0.762211,-0.751493,-0.726663,-0.728259,-0.683631,-0.755423,-0.696142,-0.722725,-0.709891,-0.562851,-0.469969,-0.524381,-0.656145,-0.604989,-0.700511,-0.735086
-0.786895,-0.786743,-0.743864,-0.769067,-0.721245,-0.764459,-0.749555,-0.742700,-1.000000,-0.707960,-0.513987,-0.565944,-0.602608,-0.540693,-0.691377,-0.724366,-0.750958,-0.733604,-0.728868,-0.736577,-0.694492,-0.749815,-0.693455,-0.724804,-0.718343,-0.567222,-0.471529,-0.519853,-0.652836,-0.600345,-0.695131,-0.728499
-0.790801,-0.791283,-0.742502,-0.766247,-0.718285,-0.761670,-0.747702,-0.738269,-1.000000,-0.708811,-0.504161,-0.563489,-0.596879,-0.543957,-0.688683,-0.722652,-0.757469,-0.747499,-0.721733,-0.731745,-0.673982,-0.747347,-0.687134,-0.717475,-0.715317,-0.559321,-0.472440,-0.524879,-0.614970,-0.591461,-0.690239,-0.725102
-0.777538,-0.778395,-0.730362,-0.754866,-0.711306,-0.740942,-0.730625,-0.724566,-1.000000,-0.667539,-0.453233,-0.478779,-0.500136,-0.494702,-0.667621,-0.700928,-0.743683,-0.738291,-0.716514,-0.712449,-0.666085,-0.726741,-0.656247,-0.695405,-0.700199,-0.538037,-0.425199,-0.458160,-0.554186,-0.566028,-0.663330,-0.697849
-0.772968,-0.772322,-0.741932,-0.736128,-0.679238,-0.737209,-0.721598,-0.713354,-1.000000,-0.678036,-0.499503,-0.541261,-0.574770,-0.539651,-0.683831,-0.714367,-0.752901,-0.736145,-0.716914,-0.677079,-0.551576,-0.712849,-0.666587,-0.690979,-0.701102,-0.551487,-0.473082,-0.534164,-0.622928,-0.604606,-0.691350,-0.721285
-0.800676,-0.798323,-0.741911,-0.769150,-0.733953,-0.766954,-0.752309,-0.754654,-1.000000,-0.715547,-0.526662,-0.561931,-0.606054,-0.554866,-0.705488,-0.741187,-0.771993,-0.756974,-0.734819,-0.722896,-0.692380,-0.745016,-0.688685,-0.723634,-0.724040,-0.582522,-0.495693,-0.554373,-0.643322,-0.607862,-0.710940,-0.745266
-0.800847,-0.792112,-0.739577,-0.757524,-0.705607,-0.752766,-0.746504,-0.752541,-1.000000,-0.743658,-0.570886,-0.604376,-0.643897,-0.611984,-0.713599,-0.738365,-0.754452,-0.743611,-0.731293,-0.729263,-0.683105,-0.739492,-0.681282,-0.723623,-0.726585,-0.589352,-0.527013,-0.562422,-0.685429,-0.613480,-0.708869,-0.743837
-0.806119,-0.801817,-0.749523,-0.771434,-0.733207,-0.769943,-0.757945,-0.749951,-1.000000,-0.738045,-0.580351,-0.624443,-0.695851,-0.633685,-0.724446,-0.750737,-0.769074,-0.756201,-0.733567,-0.734736,-0.694306,-0.749384,-0.700055,-0.722847,-0.722030,-0.598199,-0.553010,-0.588951,-0.694155,-0.652047,-0.731445,-0.759885
-0.795560,-0.795366,-0.737107,-0.719033,-0.697735,-0.758286,-0.742162,-0.723115,-1.000000,-0.721714,-0.552081,-0.591458,-0.662090,-0.625871,-0.719515,-0.741965,-0.770900,-0.756723,-0.710814,-0.642625,-0.678705,-0.743734,-0.681730,-0.704341,-0.684646,-0.571230,-0.525272,-0.556326,-0.687803,-0.655063,-0.730233,-0.748433
-0.805338,-0.802303,-0.752380,-0.757735,-0.718063,-0.767661,-0.748823,-0.732542,-1.000000,-0.754603,-0.602819,-0.638241,-0.706800,-0.638846,-0.735825,-0.760529,-0.775752,-0.763451,-0.732429,-0.708927,-0.684351,-0.749696,-0.697141,-0.716851,-0.704729,-0.618010,-0.576211,-0.598420,-0.672541,-0.631285,-0.738133,-0.764594
-0.799870,-0.784853,-0.732461,-0.745658,-0.711169,-0.740642,-0.740062,-0.728519,-1.000000,-0.736739,-0.591758,-0.641845,-0.718981,-0.649796,-0.733793,-0.753405,-0.769382,-0.758982,-0.711336,-0.709873,-0.670992,-0.731082,-0.672683,-0.688342,-0.675036,-0.574147,-0.565743,-0.619046,-0.725344,-0.664857,-0.740742,-0.758554
-0.809653,-0.804325,-0.752616,-0.769460,-0.718504,-0.766871,-0.762726,-0.756784,-1.000000,-0.753057,-0.595100,-0.643418,-0.709493,-0.644742,-0.741928,-0.764235,-0.778281,-0.751127,-0.736080,-0.712936,-0.673739,-0.750866,-0.700041,-0.731700,-0.720963,-0.604931,-0.570633,-0.623713,-0.721144,-0.664416,-0.750182,-0.770013
-0.815617,-0.803020,-0.749840,-0.763082,-0.722398,-0.768667,-0.766508,-0.745052,-1.000000,-0.752535,-0.600514,-0.643919,-0.710129,-0.654388,-0.752110,-0.773010,-0.787344,-0.769316,-0.728028,-0.709132,-0.670665,-0.755383,-0.707616,-0.734798,-0.723144,-0.610811,-0.572181,-0.605443,-0.725701,-0.664387,-0.752648,-0.776122
