run_index,num_levels,vector_dimension,ga_generations,preopt_test_accuracy,postopt_test_accuracy,delta_accuracy,timestamp,log_file
3,100,1024,256,0.93706897,0.94137931,0.004310339999999968,2026-03-17T17:29:14.679769,run_nl100_vd1024_gen256.txt
7,100,2048,256,0.9387931,0.95775862,0.018965519999999958,2026-03-17T18:27:19.679219,run_nl100_vd2048_gen256.txt
11,100,3072,256,0.95258621,0.94913793,-0.0034482799999999703,2026-03-17T20:02:09.831674,run_nl100_vd3072_gen256.txt
15,100,4096,256,0.94310345,0.94655172,0.003448270000000031,2026-03-17T22:15:19.998265,run_nl100_vd4096_gen256.txt
19,100,5120,256,0.95,0.94396552,-0.006034479999999953,2026-03-18T01:07:27.057820,run_nl100_vd5120_gen256.txt
23,100,6144,256,0.94482759,0.94396552,-0.0008620700000000481,2026-03-18T04:35:53.601169,run_nl100_vd6144_gen256.txt
27,100,7168,256,0.94741379,0.95344828,0.0060344900000000035,2026-03-18T08:43:21.408444,run_nl100_vd7168_gen256.txt
31,100,8192,256,0.94310345,0.94568966,0.002586210000000033,2026-03-18T13:27:21.514269,run_nl100_vd8192_gen256.txt
