run_index,num_levels,vector_dimension,ga_generations,preopt_test_accuracy,postopt_test_accuracy,delta_accuracy,timestamp,log_file
1,100,1024,64,0.93706897,0.94741379,0.010344820000000032,2026-03-17T17:13:08.942726,run_nl100_vd1024_gen64.txt
5,100,2048,64,0.9387931,0.95431034,0.015517239999999988,2026-03-17T17:56:02.127197,run_nl100_vd2048_gen64.txt
9,100,3072,64,0.95258621,0.94827586,-0.004310350000000018,2026-03-17T19:16:43.364759,run_nl100_vd3072_gen64.txt
13,100,4096,64,0.94310345,0.94482759,0.0017241400000000962,2026-03-17T21:12:55.438650,run_nl100_vd4096_gen64.txt
17,100,5120,64,0.95,0.94655172,-0.0034482799999999703,2026-03-17T23:51:11.200378,run_nl100_vd5120_gen64.txt
21,100,6144,64,0.94482759,0.94482759,0.0,2026-03-18T03:04:33.221830,run_nl100_vd6144_gen64.txt
25,100,7168,64,0.94741379,0.95258621,0.005172419999999955,2026-03-18T06:56:56.314300,run_nl100_vd7168_gen64.txt
29,100,8192,64,0.94310345,0.95172414,0.008620690000000097,2026-03-18T11:25:48.730375,run_nl100_vd8192_gen64.txt
