run_index,num_levels,vector_dimension,ga_generations,preopt_test_accuracy,postopt_test_accuracy,delta_accuracy,timestamp,log_file
2,100,1024,128,0.93706897,0.95,0.012931029999999955,2026-03-17T17:18:32.970372,run_nl100_vd1024_gen128.txt
6,100,2048,128,0.9387931,0.96034483,0.02155172999999999,2026-03-17T18:06:30.242409,run_nl100_vd2048_gen128.txt
10,100,3072,128,0.95258621,0.94655172,-0.0060344900000000035,2026-03-17T19:31:55.032346,run_nl100_vd3072_gen128.txt
14,100,4096,128,0.94310345,0.93965517,-0.0034482799999999703,2026-03-17T21:33:50.387682,run_nl100_vd4096_gen128.txt
18,100,5120,128,0.95,0.94655172,-0.0034482799999999703,2026-03-18T00:16:42.327788,run_nl100_vd5120_gen128.txt
22,100,6144,128,0.94482759,0.94396552,-0.0008620700000000481,2026-03-18T03:35:05.732383,run_nl100_vd6144_gen128.txt
26,100,7168,128,0.94741379,0.95689655,0.009482759999999923,2026-03-18T07:32:32.096800,run_nl100_vd7168_gen128.txt
30,100,8192,128,0.94310345,0.94482759,0.0017241400000000962,2026-03-18T12:06:25.427263,run_nl100_vd8192_gen128.txt
