seed,dataset,generation,new_selected,population
1,0,1,75.0,128.0
1,0,2,67.0,128.0
1,0,3,56.0,128.0
1,0,4,49.0,128.0
1,0,5,43.0,128.0
1,0,6,27.0,128.0
1,0,7,29.0,128.0
1,0,8,31.0,128.0
1,0,9,27.0,128.0
1,0,10,25.0,128.0
1,0,11,20.0,128.0
1,0,12,26.0,128.0
1,0,13,18.0,128.0
1,0,14,20.0,128.0
1,0,15,15.0,128.0
1,0,16,18.0,128.0
1,0,17,14.0,128.0
1,0,18,15.0,128.0
1,0,19,15.0,128.0
1,0,20,16.0,128.0
1,0,21,14.0,128.0
1,0,22,16.0,128.0
1,0,23,14.0,128.0
1,0,24,19.0,128.0
1,0,25,20.0,128.0
1,0,26,14.0,128.0
1,0,27,21.0,128.0
1,0,28,22.0,128.0
1,0,29,24.0,128.0
1,0,30,28.0,128.0
1,0,31,20.0,128.0
1,0,32,17.0,128.0
1,0,33,21.0,128.0
1,0,34,19.0,128.0
1,0,35,18.0,128.0
1,0,36,25.0,128.0
1,0,37,17.0,128.0
1,0,38,22.0,128.0
1,0,39,15.0,128.0
1,0,40,13.0,128.0
1,0,41,18.0,128.0
1,0,42,15.0,128.0
1,0,43,20.0,128.0
1,0,44,14.0,128.0
1,0,45,23.0,128.0
1,0,46,15.0,128.0
1,0,47,13.0,128.0
1,0,48,21.0,128.0
1,0,49,18.0,128.0
1,0,50,17.0,128.0
1,0,51,20.0,128.0
1,0,52,16.0,128.0
1,0,53,13.0,128.0
1,0,54,11.0,128.0
1,0,55,14.0,128.0
1,0,56,14.0,128.0
1,0,57,13.0,128.0
1,0,58,12.0,128.0
1,0,59,14.0,128.0
1,0,60,11.0,128.0
1,0,61,15.0,128.0
1,0,62,17.0,128.0
1,0,63,22.0,128.0
1,0,64,10.0,128.0
1,0,65,17.0,128.0
1,0,66,11.0,128.0
1,0,67,10.0,128.0
1,0,68,11.0,128.0
1,0,69,20.0,128.0
1,0,70,16.0,128.0
1,0,71,11.0,128.0
1,0,72,5.0,128.0
1,0,73,10.0,128.0
1,0,74,13.0,128.0
1,0,75,12.0,128.0
1,0,76,17.0,128.0
1,0,77,14.0,128.0
1,0,78,11.0,128.0
1,0,79,12.0,128.0
1,0,80,15.0,128.0
1,0,81,7.0,128.0
1,0,82,10.0,128.0
1,0,83,8.0,128.0
1,0,84,13.0,128.0
1,0,85,11.0,128.0
1,0,86,18.0,128.0
1,0,87,17.0,128.0
1,0,88,15.0,128.0
1,0,89,11.0,128.0
1,0,90,11.0,128.0
1,0,91,10.0,128.0
1,0,92,11.0,128.0
1,0,93,10.0,128.0
1,0,94,12.0,128.0
1,0,95,7.0,128.0
1,0,96,10.0,128.0
1,0,97,8.0,128.0
1,0,98,12.0,128.0
1,0,99,12.0,128.0
1,0,100,4.0,128.0
1,0,101,6.0,128.0
1,0,102,15.0,128.0
1,0,103,9.0,128.0
1,0,104,3.0,128.0
1,0,105,3.0,128.0
1,0,106,10.0,128.0
1,0,107,11.0,128.0
1,0,108,4.0,128.0
1,0,109,5.0,128.0
1,0,110,8.0,128.0
1,0,111,8.0,128.0
1,0,112,13.0,128.0
1,0,113,7.0,128.0
1,0,114,8.0,128.0
1,0,115,5.0,128.0
1,0,116,5.0,128.0
1,0,117,10.0,128.0
1,0,118,8.0,128.0
1,0,119,5.0,128.0
1,0,120,8.0,128.0
1,0,121,7.0,128.0
1,0,122,4.0,128.0
1,0,123,6.0,128.0
1,0,124,5.0,128.0
1,0,125,4.0,128.0
1,0,126,5.0,128.0
1,0,127,6.0,128.0
1,0,128,5.0,128.0
2,0,1,77.0,128.0
2,0,2,67.0,128.0
2,0,3,59.0,128.0
2,0,4,55.0,128.0
2,0,5,51.0,128.0
2,0,6,55.0,128.0
2,0,7,56.0,128.0
2,0,8,53.0,128.0
2,0,9,48.0,128.0
2,0,10,43.0,128.0
2,0,11,48.0,128.0
2,0,12,31.0,128.0
2,0,13,31.0,128.0
2,0,14,29.0,128.0
2,0,15,32.0,128.0
2,0,16,26.0,128.0
2,0,17,22.0,128.0
2,0,18,21.0,128.0
2,0,19,20.0,128.0
2,0,20,15.0,128.0
2,0,21,20.0,128.0
2,0,22,17.0,128.0
2,0,23,29.0,128.0
2,0,24,15.0,128.0
2,0,25,12.0,128.0
2,0,26,16.0,128.0
2,0,27,13.0,128.0
2,0,28,17.0,128.0
2,0,29,16.0,128.0
2,0,30,10.0,128.0
2,0,31,15.0,128.0
2,0,32,8.0,128.0
2,0,33,12.0,128.0
2,0,34,11.0,128.0
2,0,35,8.0,128.0
2,0,36,11.0,128.0
2,0,37,17.0,128.0
2,0,38,18.0,128.0
2,0,39,15.0,128.0
2,0,40,17.0,128.0
2,0,41,14.0,128.0
2,0,42,11.0,128.0
2,0,43,12.0,128.0
2,0,44,16.0,128.0
2,0,45,14.0,128.0
2,0,46,24.0,128.0
2,0,47,16.0,128.0
2,0,48,17.0,128.0
2,0,49,16.0,128.0
2,0,50,13.0,128.0
2,0,51,20.0,128.0
2,0,52,22.0,128.0
2,0,53,16.0,128.0
2,0,54,14.0,128.0
2,0,55,12.0,128.0
2,0,56,12.0,128.0
2,0,57,10.0,128.0
2,0,58,11.0,128.0
2,0,59,14.0,128.0
2,0,60,12.0,128.0
2,0,61,10.0,128.0
2,0,62,17.0,128.0
2,0,63,16.0,128.0
2,0,64,6.0,128.0
2,0,65,10.0,128.0
2,0,66,9.0,128.0
2,0,67,9.0,128.0
2,0,68,12.0,128.0
2,0,69,12.0,128.0
2,0,70,6.0,128.0
2,0,71,10.0,128.0
2,0,72,9.0,128.0
2,0,73,7.0,128.0
2,0,74,10.0,128.0
2,0,75,6.0,128.0
2,0,76,6.0,128.0
2,0,77,4.0,128.0
2,0,78,5.0,128.0
2,0,79,5.0,128.0
2,0,80,6.0,128.0
2,0,81,8.0,128.0
2,0,82,3.0,128.0
2,0,83,7.0,128.0
2,0,84,9.0,128.0
2,0,85,3.0,128.0
2,0,86,7.0,128.0
2,0,87,3.0,128.0
2,0,88,4.0,128.0
2,0,89,8.0,128.0
2,0,90,9.0,128.0
2,0,91,6.0,128.0
2,0,92,5.0,128.0
2,0,93,7.0,128.0
2,0,94,3.0,128.0
2,0,95,2.0,128.0
2,0,96,3.0,128.0
2,0,97,7.0,128.0
2,0,98,4.0,128.0
2,0,99,9.0,128.0
2,0,100,4.0,128.0
2,0,101,4.0,128.0
2,0,102,8.0,128.0
2,0,103,10.0,128.0
2,0,104,5.0,128.0
2,0,105,9.0,128.0
2,0,106,9.0,128.0
2,0,107,5.0,128.0
2,0,108,5.0,128.0
2,0,109,5.0,128.0
2,0,110,7.0,128.0
2,0,111,3.0,128.0
2,0,112,11.0,128.0
2,0,113,7.0,128.0
2,0,114,9.0,128.0
2,0,115,4.0,128.0
2,0,116,8.0,128.0
2,0,117,8.0,128.0
2,0,118,3.0,128.0
2,0,119,3.0,128.0
2,0,120,9.0,128.0
2,0,121,6.0,128.0
2,0,122,12.0,128.0
2,0,123,5.0,128.0
2,0,124,6.0,128.0
2,0,125,8.0,128.0
2,0,126,10.0,128.0
2,0,127,13.0,128.0
2,0,128,8.0,128.0
3,0,1,73.0,128.0
3,0,2,57.0,128.0
3,0,3,45.0,128.0
3,0,4,43.0,128.0
3,0,5,50.0,128.0
3,0,6,41.0,128.0
3,0,7,44.0,128.0
3,0,8,32.0,128.0
3,0,9,34.0,128.0
3,0,10,35.0,128.0
3,0,11,32.0,128.0
3,0,12,31.0,128.0
3,0,13,22.0,128.0
3,0,14,28.0,128.0
3,0,15,25.0,128.0
3,0,16,27.0,128.0
3,0,17,28.0,128.0
3,0,18,29.0,128.0
3,0,19,20.0,128.0
3,0,20,35.0,128.0
3,0,21,31.0,128.0
3,0,22,24.0,128.0
3,0,23,25.0,128.0
3,0,24,26.0,128.0
3,0,25,29.0,128.0
3,0,26,33.0,128.0
3,0,27,27.0,128.0
3,0,28,24.0,128.0
3,0,29,29.0,128.0
3,0,30,24.0,128.0
3,0,31,20.0,128.0
3,0,32,9.0,128.0
3,0,33,16.0,128.0
3,0,34,16.0,128.0
3,0,35,15.0,128.0
3,0,36,17.0,128.0
3,0,37,24.0,128.0
3,0,38,24.0,128.0
3,0,39,14.0,128.0
3,0,40,14.0,128.0
3,0,41,12.0,128.0
3,0,42,18.0,128.0
3,0,43,21.0,128.0
3,0,44,17.0,128.0
3,0,45,12.0,128.0
3,0,46,19.0,128.0
3,0,47,13.0,128.0
3,0,48,20.0,128.0
3,0,49,10.0,128.0
3,0,50,14.0,128.0
3,0,51,14.0,128.0
3,0,52,17.0,128.0
3,0,53,12.0,128.0
3,0,54,11.0,128.0
3,0,55,10.0,128.0
3,0,56,15.0,128.0
3,0,57,14.0,128.0
3,0,58,8.0,128.0
3,0,59,7.0,128.0
3,0,60,11.0,128.0
3,0,61,12.0,128.0
3,0,62,12.0,128.0
3,0,63,11.0,128.0
3,0,64,7.0,128.0
3,0,65,7.0,128.0
3,0,66,11.0,128.0
3,0,67,10.0,128.0
3,0,68,11.0,128.0
3,0,69,6.0,128.0
3,0,70,12.0,128.0
3,0,71,5.0,128.0
3,0,72,8.0,128.0
3,0,73,9.0,128.0
3,0,74,3.0,128.0
3,0,75,8.0,128.0
3,0,76,4.0,128.0
3,0,77,8.0,128.0
3,0,78,9.0,128.0
3,0,79,9.0,128.0
3,0,80,8.0,128.0
3,0,81,6.0,128.0
3,0,82,10.0,128.0
3,0,83,8.0,128.0
3,0,84,8.0,128.0
3,0,85,9.0,128.0
3,0,86,8.0,128.0
3,0,87,4.0,128.0
3,0,88,10.0,128.0
3,0,89,10.0,128.0
3,0,90,3.0,128.0
3,0,91,6.0,128.0
3,0,92,7.0,128.0
3,0,93,8.0,128.0
3,0,94,8.0,128.0
3,0,95,5.0,128.0
3,0,96,6.0,128.0
3,0,97,4.0,128.0
3,0,98,4.0,128.0
3,0,99,9.0,128.0
3,0,100,5.0,128.0
3,0,101,3.0,128.0
3,0,102,6.0,128.0
3,0,103,5.0,128.0
3,0,104,4.0,128.0
3,0,105,7.0,128.0
3,0,106,7.0,128.0
3,0,107,5.0,128.0
3,0,108,0.0,128.0
3,0,109,8.0,128.0
3,0,110,4.0,128.0
3,0,111,6.0,128.0
3,0,112,6.0,128.0
3,0,113,4.0,128.0
3,0,114,1.0,128.0
3,0,115,7.0,128.0
3,0,116,7.0,128.0
3,0,117,5.0,128.0
3,0,118,5.0,128.0
3,0,119,4.0,128.0
3,0,120,5.0,128.0
3,0,121,2.0,128.0
3,0,122,4.0,128.0
3,0,123,8.0,128.0
3,0,124,4.0,128.0
3,0,125,4.0,128.0
3,0,126,6.0,128.0
3,0,127,5.0,128.0
3,0,128,3.0,128.0
