seed,dataset,generation,new_selected,population
1,0,1,70.0,128.0
1,0,2,47.0,128.0
1,0,3,38.0,128.0
1,0,4,32.0,128.0
1,0,5,24.0,128.0
1,0,6,17.0,128.0
1,0,7,17.0,128.0
1,0,8,17.0,128.0
1,0,9,18.0,128.0
1,0,10,11.0,128.0
1,0,11,12.0,128.0
1,0,12,17.0,128.0
1,0,13,11.0,128.0
1,0,14,17.0,128.0
1,0,15,20.0,128.0
1,0,16,11.0,128.0
1,0,17,10.0,128.0
1,0,18,8.0,128.0
1,0,19,6.0,128.0
1,0,20,7.0,128.0
1,0,21,7.0,128.0
1,0,22,8.0,128.0
1,0,23,9.0,128.0
1,0,24,6.0,128.0
1,0,25,6.0,128.0
1,0,26,8.0,128.0
1,0,27,7.0,128.0
1,0,28,9.0,128.0
1,0,29,12.0,128.0
1,0,30,8.0,128.0
1,0,31,9.0,128.0
1,0,32,12.0,128.0
1,0,33,9.0,128.0
1,0,34,4.0,128.0
1,0,35,3.0,128.0
1,0,36,4.0,128.0
1,0,37,6.0,128.0
1,0,38,8.0,128.0
1,0,39,6.0,128.0
1,0,40,5.0,128.0
1,0,41,6.0,128.0
1,0,42,6.0,128.0
1,0,43,6.0,128.0
1,0,44,10.0,128.0
1,0,45,8.0,128.0
1,0,46,10.0,128.0
1,0,47,9.0,128.0
1,0,48,8.0,128.0
1,0,49,7.0,128.0
1,0,50,6.0,128.0
1,0,51,8.0,128.0
1,0,52,6.0,128.0
1,0,53,12.0,128.0
1,0,54,11.0,128.0
1,0,55,6.0,128.0
1,0,56,9.0,128.0
1,0,57,7.0,128.0
1,0,58,9.0,128.0
1,0,59,3.0,128.0
1,0,60,12.0,128.0
1,0,61,5.0,128.0
1,0,62,6.0,128.0
1,0,63,9.0,128.0
1,0,64,4.0,128.0
1,0,65,9.0,128.0
1,0,66,8.0,128.0
1,0,67,11.0,128.0
1,0,68,9.0,128.0
1,0,69,4.0,128.0
1,0,70,10.0,128.0
1,0,71,9.0,128.0
1,0,72,6.0,128.0
1,0,73,13.0,128.0
1,0,74,12.0,128.0
1,0,75,9.0,128.0
1,0,76,5.0,128.0
1,0,77,9.0,128.0
1,0,78,9.0,128.0
1,0,79,15.0,128.0
1,0,80,10.0,128.0
1,0,81,15.0,128.0
1,0,82,15.0,128.0
1,0,83,5.0,128.0
1,0,84,8.0,128.0
1,0,85,14.0,128.0
1,0,86,10.0,128.0
1,0,87,16.0,128.0
1,0,88,13.0,128.0
1,0,89,11.0,128.0
1,0,90,14.0,128.0
1,0,91,13.0,128.0
1,0,92,17.0,128.0
1,0,93,16.0,128.0
1,0,94,16.0,128.0
1,0,95,6.0,128.0
1,0,96,14.0,128.0
1,0,97,16.0,128.0
1,0,98,14.0,128.0
1,0,99,12.0,128.0
1,0,100,19.0,128.0
1,0,101,14.0,128.0
1,0,102,10.0,128.0
1,0,103,15.0,128.0
1,0,104,15.0,128.0
1,0,105,19.0,128.0
1,0,106,11.0,128.0
1,0,107,16.0,128.0
1,0,108,11.0,128.0
1,0,109,10.0,128.0
1,0,110,8.0,128.0
1,0,111,15.0,128.0
1,0,112,12.0,128.0
1,0,113,7.0,128.0
1,0,114,11.0,128.0
1,0,115,13.0,128.0
1,0,116,15.0,128.0
1,0,117,20.0,128.0
1,0,118,19.0,128.0
1,0,119,16.0,128.0
1,0,120,13.0,128.0
1,0,121,14.0,128.0
1,0,122,19.0,128.0
1,0,123,12.0,128.0
1,0,124,19.0,128.0
1,0,125,19.0,128.0
1,0,126,16.0,128.0
1,0,127,16.0,128.0
1,0,128,16.0,128.0
2,0,1,83.0,128.0
2,0,2,56.0,128.0
2,0,3,40.0,128.0
2,0,4,28.0,128.0
2,0,5,22.0,128.0
2,0,6,22.0,128.0
2,0,7,14.0,128.0
2,0,8,24.0,128.0
2,0,9,18.0,128.0
2,0,10,15.0,128.0
2,0,11,15.0,128.0
2,0,12,12.0,128.0
2,0,13,11.0,128.0
2,0,14,12.0,128.0
2,0,15,14.0,128.0
2,0,16,11.0,128.0
2,0,17,6.0,128.0
2,0,18,10.0,128.0
2,0,19,10.0,128.0
2,0,20,9.0,128.0
2,0,21,10.0,128.0
2,0,22,7.0,128.0
2,0,23,9.0,128.0
2,0,24,9.0,128.0
2,0,25,6.0,128.0
2,0,26,4.0,128.0
2,0,27,15.0,128.0
2,0,28,5.0,128.0
2,0,29,7.0,128.0
2,0,30,10.0,128.0
2,0,31,7.0,128.0
2,0,32,6.0,128.0
2,0,33,5.0,128.0
2,0,34,6.0,128.0
2,0,35,3.0,128.0
2,0,36,6.0,128.0
2,0,37,12.0,128.0
2,0,38,8.0,128.0
2,0,39,5.0,128.0
2,0,40,6.0,128.0
2,0,41,10.0,128.0
2,0,42,12.0,128.0
2,0,43,11.0,128.0
2,0,44,10.0,128.0
2,0,45,9.0,128.0
2,0,46,9.0,128.0
2,0,47,11.0,128.0
2,0,48,10.0,128.0
2,0,49,8.0,128.0
2,0,50,9.0,128.0
2,0,51,5.0,128.0
2,0,52,9.0,128.0
2,0,53,7.0,128.0
2,0,54,13.0,128.0
2,0,55,8.0,128.0
2,0,56,16.0,128.0
2,0,57,5.0,128.0
2,0,58,12.0,128.0
2,0,59,15.0,128.0
2,0,60,12.0,128.0
2,0,61,12.0,128.0
2,0,62,11.0,128.0
2,0,63,8.0,128.0
2,0,64,11.0,128.0
2,0,65,18.0,128.0
2,0,66,11.0,128.0
2,0,67,13.0,128.0
2,0,68,15.0,128.0
2,0,69,20.0,128.0
2,0,70,12.0,128.0
2,0,71,14.0,128.0
2,0,72,14.0,128.0
2,0,73,16.0,128.0
2,0,74,12.0,128.0
2,0,75,19.0,128.0
2,0,76,17.0,128.0
2,0,77,9.0,128.0
2,0,78,7.0,128.0
2,0,79,16.0,128.0
2,0,80,23.0,128.0
2,0,81,15.0,128.0
2,0,82,19.0,128.0
2,0,83,16.0,128.0
2,0,84,11.0,128.0
2,0,85,19.0,128.0
2,0,86,13.0,128.0
2,0,87,12.0,128.0
2,0,88,22.0,128.0
2,0,89,21.0,128.0
2,0,90,10.0,128.0
2,0,91,15.0,128.0
2,0,92,17.0,128.0
2,0,93,13.0,128.0
2,0,94,11.0,128.0
2,0,95,9.0,128.0
2,0,96,13.0,128.0
2,0,97,9.0,128.0
2,0,98,14.0,128.0
2,0,99,13.0,128.0
2,0,100,12.0,128.0
2,0,101,17.0,128.0
2,0,102,11.0,128.0
2,0,103,21.0,128.0
2,0,104,15.0,128.0
2,0,105,11.0,128.0
2,0,106,16.0,128.0
2,0,107,13.0,128.0
2,0,108,12.0,128.0
2,0,109,20.0,128.0
2,0,110,16.0,128.0
2,0,111,19.0,128.0
2,0,112,15.0,128.0
2,0,113,15.0,128.0
2,0,114,16.0,128.0
2,0,115,24.0,128.0
2,0,116,23.0,128.0
2,0,117,21.0,128.0
2,0,118,18.0,128.0
2,0,119,20.0,128.0
2,0,120,17.0,128.0
2,0,121,23.0,128.0
2,0,122,13.0,128.0
2,0,123,14.0,128.0
2,0,124,15.0,128.0
2,0,125,14.0,128.0
2,0,126,19.0,128.0
2,0,127,13.0,128.0
2,0,128,15.0,128.0
3,0,1,69.0,128.0
3,0,2,45.0,128.0
3,0,3,37.0,128.0
3,0,4,28.0,128.0
3,0,5,27.0,128.0
3,0,6,19.0,128.0
3,0,7,17.0,128.0
