seed,dataset,generation,new_selected,population
1,0,1,71.0,128.0
1,0,2,43.0,128.0
1,0,3,32.0,128.0
1,0,4,22.0,128.0
1,0,5,24.0,128.0
1,0,6,23.0,128.0
1,0,7,14.0,128.0
1,0,8,19.0,128.0
1,0,9,20.0,128.0
1,0,10,12.0,128.0
1,0,11,12.0,128.0
1,0,12,10.0,128.0
1,0,13,12.0,128.0
1,0,14,11.0,128.0
1,0,15,12.0,128.0
1,0,16,12.0,128.0
1,0,17,12.0,128.0
1,0,18,8.0,128.0
1,0,19,6.0,128.0
1,0,20,10.0,128.0
1,0,21,8.0,128.0
1,0,22,5.0,128.0
1,0,23,10.0,128.0
1,0,24,8.0,128.0
1,0,25,4.0,128.0
1,0,26,5.0,128.0
1,0,27,6.0,128.0
1,0,28,5.0,128.0
1,0,29,3.0,128.0
1,0,30,7.0,128.0
1,0,31,9.0,128.0
1,0,32,7.0,128.0
1,0,33,8.0,128.0
1,0,34,7.0,128.0
1,0,35,6.0,128.0
1,0,36,8.0,128.0
1,0,37,7.0,128.0
1,0,38,2.0,128.0
1,0,39,5.0,128.0
1,0,40,5.0,128.0
1,0,41,7.0,128.0
1,0,42,6.0,128.0
1,0,43,9.0,128.0
1,0,44,2.0,128.0
1,0,45,10.0,128.0
1,0,46,9.0,128.0
1,0,47,9.0,128.0
1,0,48,7.0,128.0
1,0,49,9.0,128.0
1,0,50,4.0,128.0
1,0,51,4.0,128.0
1,0,52,2.0,128.0
1,0,53,5.0,128.0
1,0,54,5.0,128.0
1,0,55,7.0,128.0
1,0,56,6.0,128.0
1,0,57,5.0,128.0
1,0,58,2.0,128.0
1,0,59,8.0,128.0
1,0,60,9.0,128.0
1,0,61,12.0,128.0
1,0,62,10.0,128.0
1,0,63,10.0,128.0
1,0,64,8.0,128.0
1,0,65,13.0,128.0
1,0,66,4.0,128.0
1,0,67,8.0,128.0
1,0,68,8.0,128.0
1,0,69,8.0,128.0
1,0,70,13.0,128.0
1,0,71,5.0,128.0
1,0,72,8.0,128.0
1,0,73,9.0,128.0
1,0,74,6.0,128.0
1,0,75,9.0,128.0
1,0,76,13.0,128.0
1,0,77,14.0,128.0
1,0,78,7.0,128.0
1,0,79,18.0,128.0
1,0,80,12.0,128.0
1,0,81,12.0,128.0
1,0,82,13.0,128.0
1,0,83,11.0,128.0
1,0,84,9.0,128.0
1,0,85,13.0,128.0
1,0,86,7.0,128.0
1,0,87,17.0,128.0
1,0,88,12.0,128.0
1,0,89,11.0,128.0
1,0,90,17.0,128.0
1,0,91,13.0,128.0
1,0,92,11.0,128.0
1,0,93,13.0,128.0
1,0,94,17.0,128.0
1,0,95,12.0,128.0
1,0,96,9.0,128.0
1,0,97,7.0,128.0
1,0,98,12.0,128.0
1,0,99,11.0,128.0
1,0,100,16.0,128.0
1,0,101,13.0,128.0
1,0,102,10.0,128.0
1,0,103,17.0,128.0
1,0,104,9.0,128.0
1,0,105,11.0,128.0
1,0,106,8.0,128.0
1,0,107,9.0,128.0
1,0,108,17.0,128.0
1,0,109,18.0,128.0
1,0,110,15.0,128.0
1,0,111,17.0,128.0
1,0,112,18.0,128.0
1,0,113,9.0,128.0
1,0,114,14.0,128.0
1,0,115,18.0,128.0
1,0,116,10.0,128.0
1,0,117,12.0,128.0
1,0,118,12.0,128.0
1,0,119,23.0,128.0
1,0,120,18.0,128.0
1,0,121,23.0,128.0
1,0,122,14.0,128.0
1,0,123,24.0,128.0
1,0,124,22.0,128.0
1,0,125,19.0,128.0
1,0,126,26.0,128.0
1,0,127,14.0,128.0
1,0,128,12.0,128.0
2,0,1,75.0,128.0
2,0,2,62.0,128.0
2,0,3,41.0,128.0
2,0,4,29.0,128.0
2,0,5,28.0,128.0
2,0,6,26.0,128.0
2,0,7,23.0,128.0
2,0,8,20.0,128.0
2,0,9,18.0,128.0
2,0,10,18.0,128.0
2,0,11,14.0,128.0
2,0,12,17.0,128.0
2,0,13,9.0,128.0
2,0,14,9.0,128.0
2,0,15,11.0,128.0
2,0,16,15.0,128.0
2,0,17,17.0,128.0
2,0,18,11.0,128.0
2,0,19,11.0,128.0
2,0,20,12.0,128.0
2,0,21,13.0,128.0
2,0,22,8.0,128.0
2,0,23,11.0,128.0
2,0,24,8.0,128.0
2,0,25,7.0,128.0
2,0,26,9.0,128.0
2,0,27,5.0,128.0
2,0,28,9.0,128.0
2,0,29,7.0,128.0
2,0,30,5.0,128.0
2,0,31,9.0,128.0
2,0,32,5.0,128.0
2,0,33,5.0,128.0
2,0,34,6.0,128.0
2,0,35,8.0,128.0
2,0,36,2.0,128.0
2,0,37,7.0,128.0
2,0,38,3.0,128.0
2,0,39,6.0,128.0
2,0,40,8.0,128.0
2,0,41,10.0,128.0
2,0,42,10.0,128.0
2,0,43,6.0,128.0
2,0,44,9.0,128.0
2,0,45,11.0,128.0
2,0,46,10.0,128.0
2,0,47,10.0,128.0
2,0,48,9.0,128.0
2,0,49,4.0,128.0
2,0,50,6.0,128.0
2,0,51,12.0,128.0
2,0,52,9.0,128.0
2,0,53,3.0,128.0
2,0,54,11.0,128.0
2,0,55,10.0,128.0
2,0,56,8.0,128.0
2,0,57,12.0,128.0
2,0,58,12.0,128.0
2,0,59,6.0,128.0
2,0,60,8.0,128.0
2,0,61,15.0,128.0
2,0,62,8.0,128.0
2,0,63,15.0,128.0
2,0,64,9.0,128.0
2,0,65,9.0,128.0
2,0,66,14.0,128.0
2,0,67,6.0,128.0
2,0,68,9.0,128.0
2,0,69,13.0,128.0
2,0,70,11.0,128.0
2,0,71,10.0,128.0
2,0,72,16.0,128.0
2,0,73,15.0,128.0
2,0,74,11.0,128.0
2,0,75,8.0,128.0
2,0,76,14.0,128.0
2,0,77,11.0,128.0
2,0,78,14.0,128.0
2,0,79,15.0,128.0
2,0,80,16.0,128.0
2,0,81,13.0,128.0
2,0,82,12.0,128.0
2,0,83,8.0,128.0
2,0,84,15.0,128.0
2,0,85,17.0,128.0
2,0,86,13.0,128.0
2,0,87,15.0,128.0
2,0,88,20.0,128.0
2,0,89,19.0,128.0
2,0,90,19.0,128.0
2,0,91,19.0,128.0
2,0,92,11.0,128.0
2,0,93,15.0,128.0
2,0,94,16.0,128.0
2,0,95,17.0,128.0
2,0,96,9.0,128.0
2,0,97,7.0,128.0
2,0,98,15.0,128.0
2,0,99,11.0,128.0
2,0,100,17.0,128.0
2,0,101,18.0,128.0
2,0,102,24.0,128.0
2,0,103,14.0,128.0
2,0,104,14.0,128.0
2,0,105,10.0,128.0
2,0,106,11.0,128.0
2,0,107,14.0,128.0
2,0,108,15.0,128.0
2,0,109,8.0,128.0
2,0,110,16.0,128.0
2,0,111,11.0,128.0
2,0,112,10.0,128.0
2,0,113,15.0,128.0
2,0,114,8.0,128.0
2,0,115,15.0,128.0
2,0,116,17.0,128.0
2,0,117,17.0,128.0
2,0,118,17.0,128.0
2,0,119,14.0,128.0
2,0,120,18.0,128.0
2,0,121,16.0,128.0
2,0,122,10.0,128.0
2,0,123,12.0,128.0
2,0,124,13.0,128.0
2,0,125,12.0,128.0
2,0,126,21.0,128.0
2,0,127,15.0,128.0
2,0,128,13.0,128.0
3,0,1,69.0,128.0
3,0,2,51.0,128.0
3,0,3,35.0,128.0
3,0,4,27.0,128.0
3,0,5,23.0,128.0
3,0,6,23.0,128.0
3,0,7,21.0,128.0
3,0,8,19.0,128.0
3,0,9,16.0,128.0
3,0,10,18.0,128.0
3,0,11,20.0,128.0
3,0,12,11.0,128.0
3,0,13,17.0,128.0
3,0,14,15.0,128.0
3,0,15,10.0,128.0
3,0,16,11.0,128.0
3,0,17,6.0,128.0
3,0,18,10.0,128.0
3,0,19,9.0,128.0
3,0,20,12.0,128.0
3,0,21,5.0,128.0
3,0,22,5.0,128.0
3,0,23,6.0,128.0
3,0,24,6.0,128.0
3,0,25,6.0,128.0
3,0,26,9.0,128.0
3,0,27,7.0,128.0
3,0,28,12.0,128.0
3,0,29,8.0,128.0
3,0,30,12.0,128.0
3,0,31,3.0,128.0
3,0,32,7.0,128.0
3,0,33,2.0,128.0
3,0,34,4.0,128.0
3,0,35,11.0,128.0
3,0,36,7.0,128.0
3,0,37,7.0,128.0
3,0,38,12.0,128.0
3,0,39,9.0,128.0
3,0,40,8.0,128.0
3,0,41,7.0,128.0
3,0,42,2.0,128.0
3,0,43,6.0,128.0
3,0,44,2.0,128.0
