seed,dataset,generation,new_selected,population
1,0,1,73.0,128.0
1,0,2,53.0,128.0
1,0,3,36.0,128.0
1,0,4,34.0,128.0
1,0,5,31.0,128.0
1,0,6,24.0,128.0
1,0,7,19.0,128.0
1,0,8,25.0,128.0
1,0,9,22.0,128.0
1,0,10,20.0,128.0
1,0,11,20.0,128.0
1,0,12,18.0,128.0
1,0,13,18.0,128.0
1,0,14,19.0,128.0
1,0,15,13.0,128.0
1,0,16,12.0,128.0
1,0,17,22.0,128.0
1,0,18,23.0,128.0
1,0,19,20.0,128.0
1,0,20,16.0,128.0
1,0,21,12.0,128.0
1,0,22,11.0,128.0
1,0,23,17.0,128.0
1,0,24,13.0,128.0
1,0,25,13.0,128.0
1,0,26,14.0,128.0
1,0,27,15.0,128.0
1,0,28,13.0,128.0
1,0,29,16.0,128.0
1,0,30,20.0,128.0
1,0,31,11.0,128.0
1,0,32,14.0,128.0
1,0,33,14.0,128.0
1,0,34,10.0,128.0
1,0,35,16.0,128.0
1,0,36,13.0,128.0
1,0,37,12.0,128.0
1,0,38,12.0,128.0
1,0,39,13.0,128.0
1,0,40,7.0,128.0
1,0,41,15.0,128.0
1,0,42,17.0,128.0
1,0,43,9.0,128.0
1,0,44,16.0,128.0
1,0,45,13.0,128.0
1,0,46,10.0,128.0
1,0,47,13.0,128.0
1,0,48,12.0,128.0
1,0,49,13.0,128.0
1,0,50,10.0,128.0
1,0,51,7.0,128.0
1,0,52,13.0,128.0
1,0,53,18.0,128.0
1,0,54,11.0,128.0
1,0,55,5.0,128.0
1,0,56,7.0,128.0
1,0,57,11.0,128.0
1,0,58,5.0,128.0
1,0,59,12.0,128.0
1,0,60,9.0,128.0
1,0,61,11.0,128.0
1,0,62,10.0,128.0
1,0,63,11.0,128.0
1,0,64,9.0,128.0
1,0,65,8.0,128.0
1,0,66,12.0,128.0
1,0,67,15.0,128.0
1,0,68,9.0,128.0
1,0,69,7.0,128.0
1,0,70,7.0,128.0
1,0,71,15.0,128.0
1,0,72,10.0,128.0
1,0,73,6.0,128.0
1,0,74,5.0,128.0
1,0,75,7.0,128.0
1,0,76,16.0,128.0
1,0,77,10.0,128.0
1,0,78,19.0,128.0
1,0,79,17.0,128.0
1,0,80,8.0,128.0
1,0,81,11.0,128.0
1,0,82,11.0,128.0
1,0,83,15.0,128.0
1,0,84,12.0,128.0
1,0,85,15.0,128.0
1,0,86,13.0,128.0
1,0,87,12.0,128.0
1,0,88,18.0,128.0
1,0,89,16.0,128.0
1,0,90,8.0,128.0
1,0,91,9.0,128.0
1,0,92,15.0,128.0
1,0,93,10.0,128.0
1,0,94,12.0,128.0
1,0,95,12.0,128.0
1,0,96,17.0,128.0
1,0,97,16.0,128.0
1,0,98,9.0,128.0
1,0,99,11.0,128.0
1,0,100,10.0,128.0
1,0,101,14.0,128.0
1,0,102,11.0,128.0
1,0,103,10.0,128.0
1,0,104,14.0,128.0
1,0,105,11.0,128.0
1,0,106,9.0,128.0
1,0,107,15.0,128.0
1,0,108,19.0,128.0
1,0,109,22.0,128.0
1,0,110,17.0,128.0
1,0,111,23.0,128.0
1,0,112,18.0,128.0
1,0,113,19.0,128.0
1,0,114,16.0,128.0
1,0,115,15.0,128.0
1,0,116,10.0,128.0
1,0,117,10.0,128.0
1,0,118,17.0,128.0
1,0,119,17.0,128.0
1,0,120,17.0,128.0
1,0,121,14.0,128.0
1,0,122,13.0,128.0
1,0,123,12.0,128.0
1,0,124,7.0,128.0
1,0,125,9.0,128.0
1,0,126,10.0,128.0
1,0,127,11.0,128.0
1,0,128,9.0,128.0
2,0,1,76.0,128.0
2,0,2,64.0,128.0
2,0,3,43.0,128.0
2,0,4,43.0,128.0
2,0,5,42.0,128.0
2,0,6,28.0,128.0
2,0,7,35.0,128.0
2,0,8,28.0,128.0
2,0,9,33.0,128.0
2,0,10,28.0,128.0
2,0,11,23.0,128.0
2,0,12,25.0,128.0
2,0,13,22.0,128.0
2,0,14,27.0,128.0
2,0,15,19.0,128.0
2,0,16,17.0,128.0
2,0,17,17.0,128.0
2,0,18,16.0,128.0
2,0,19,9.0,128.0
2,0,20,18.0,128.0
2,0,21,26.0,128.0
2,0,22,11.0,128.0
2,0,23,8.0,128.0
2,0,24,16.0,128.0
2,0,25,5.0,128.0
2,0,26,19.0,128.0
2,0,27,12.0,128.0
2,0,28,16.0,128.0
2,0,29,12.0,128.0
2,0,30,9.0,128.0
2,0,31,10.0,128.0
2,0,32,12.0,128.0
2,0,33,11.0,128.0
2,0,34,20.0,128.0
2,0,35,12.0,128.0
2,0,36,21.0,128.0
2,0,37,11.0,128.0
2,0,38,16.0,128.0
2,0,39,16.0,128.0
2,0,40,20.0,128.0
2,0,41,16.0,128.0
2,0,42,12.0,128.0
2,0,43,15.0,128.0
2,0,44,12.0,128.0
2,0,45,15.0,128.0
2,0,46,15.0,128.0
2,0,47,15.0,128.0
2,0,48,19.0,128.0
2,0,49,16.0,128.0
2,0,50,20.0,128.0
2,0,51,15.0,128.0
2,0,52,18.0,128.0
2,0,53,16.0,128.0
2,0,54,13.0,128.0
2,0,55,16.0,128.0
2,0,56,13.0,128.0
2,0,57,9.0,128.0
2,0,58,14.0,128.0
2,0,59,22.0,128.0
2,0,60,11.0,128.0
2,0,61,12.0,128.0
2,0,62,9.0,128.0
2,0,63,12.0,128.0
2,0,64,12.0,128.0
2,0,65,13.0,128.0
2,0,66,17.0,128.0
2,0,67,15.0,128.0
2,0,68,10.0,128.0
2,0,69,13.0,128.0
2,0,70,11.0,128.0
2,0,71,10.0,128.0
2,0,72,11.0,128.0
2,0,73,15.0,128.0
2,0,74,10.0,128.0
2,0,75,17.0,128.0
2,0,76,10.0,128.0
2,0,77,8.0,128.0
2,0,78,18.0,128.0
2,0,79,10.0,128.0
2,0,80,15.0,128.0
2,0,81,14.0,128.0
2,0,82,11.0,128.0
2,0,83,14.0,128.0
2,0,84,16.0,128.0
2,0,85,9.0,128.0
2,0,86,6.0,128.0
2,0,87,15.0,128.0
2,0,88,12.0,128.0
2,0,89,11.0,128.0
2,0,90,12.0,128.0
2,0,91,12.0,128.0
2,0,92,12.0,128.0
2,0,93,10.0,128.0
2,0,94,11.0,128.0
2,0,95,15.0,128.0
2,0,96,7.0,128.0
2,0,97,14.0,128.0
2,0,98,11.0,128.0
2,0,99,5.0,128.0
2,0,100,8.0,128.0
2,0,101,6.0,128.0
2,0,102,12.0,128.0
2,0,103,8.0,128.0
2,0,104,3.0,128.0
2,0,105,6.0,128.0
2,0,106,9.0,128.0
2,0,107,8.0,128.0
2,0,108,9.0,128.0
2,0,109,13.0,128.0
2,0,110,9.0,128.0
2,0,111,11.0,128.0
2,0,112,17.0,128.0
2,0,113,11.0,128.0
2,0,114,17.0,128.0
2,0,115,11.0,128.0
2,0,116,6.0,128.0
2,0,117,12.0,128.0
2,0,118,10.0,128.0
2,0,119,9.0,128.0
2,0,120,14.0,128.0
2,0,121,22.0,128.0
2,0,122,11.0,128.0
2,0,123,19.0,128.0
2,0,124,13.0,128.0
2,0,125,20.0,128.0
2,0,126,15.0,128.0
2,0,127,14.0,128.0
2,0,128,14.0,128.0
3,0,1,75.0,128.0
3,0,2,57.0,128.0
3,0,3,44.0,128.0
3,0,4,32.0,128.0
3,0,5,31.0,128.0
3,0,6,35.0,128.0
3,0,7,27.0,128.0
3,0,8,24.0,128.0
3,0,9,23.0,128.0
3,0,10,23.0,128.0
3,0,11,17.0,128.0
3,0,12,12.0,128.0
3,0,13,18.0,128.0
3,0,14,10.0,128.0
3,0,15,17.0,128.0
3,0,16,15.0,128.0
3,0,17,17.0,128.0
3,0,18,16.0,128.0
3,0,19,13.0,128.0
3,0,20,14.0,128.0
3,0,21,9.0,128.0
3,0,22,12.0,128.0
3,0,23,14.0,128.0
3,0,24,14.0,128.0
3,0,25,10.0,128.0
3,0,26,12.0,128.0
3,0,27,9.0,128.0
3,0,28,8.0,128.0
3,0,29,14.0,128.0
3,0,30,11.0,128.0
3,0,31,6.0,128.0
3,0,32,13.0,128.0
3,0,33,9.0,128.0
3,0,34,19.0,128.0
3,0,35,13.0,128.0
3,0,36,13.0,128.0
3,0,37,10.0,128.0
3,0,38,7.0,128.0
3,0,39,14.0,128.0
3,0,40,10.0,128.0
3,0,41,13.0,128.0
3,0,42,20.0,128.0
3,0,43,10.0,128.0
3,0,44,6.0,128.0
3,0,45,13.0,128.0
3,0,46,12.0,128.0
3,0,47,12.0,128.0
3,0,48,11.0,128.0
3,0,49,15.0,128.0
3,0,50,11.0,128.0
3,0,51,12.0,128.0
3,0,52,12.0,128.0
3,0,53,8.0,128.0
3,0,54,13.0,128.0
3,0,55,16.0,128.0
3,0,56,9.0,128.0
3,0,57,14.0,128.0
3,0,58,14.0,128.0
3,0,59,19.0,128.0
3,0,60,12.0,128.0
3,0,61,19.0,128.0
3,0,62,11.0,128.0
3,0,63,13.0,128.0
3,0,64,14.0,128.0
3,0,65,9.0,128.0
3,0,66,13.0,128.0
3,0,67,14.0,128.0
3,0,68,11.0,128.0
3,0,69,19.0,128.0
3,0,70,13.0,128.0
3,0,71,12.0,128.0
3,0,72,15.0,128.0
3,0,73,17.0,128.0
3,0,74,14.0,128.0
3,0,75,8.0,128.0
3,0,76,17.0,128.0
3,0,77,12.0,128.0
3,0,78,7.0,128.0
3,0,79,14.0,128.0
3,0,80,13.0,128.0
3,0,81,14.0,128.0
3,0,82,15.0,128.0
3,0,83,11.0,128.0
3,0,84,20.0,128.0
3,0,85,14.0,128.0
3,0,86,18.0,128.0
3,0,87,12.0,128.0
3,0,88,12.0,128.0
3,0,89,13.0,128.0
3,0,90,19.0,128.0
3,0,91,11.0,128.0
3,0,92,19.0,128.0
3,0,93,13.0,128.0
3,0,94,12.0,128.0
3,0,95,13.0,128.0
3,0,96,9.0,128.0
3,0,97,14.0,128.0
3,0,98,15.0,128.0
3,0,99,15.0,128.0
3,0,100,16.0,128.0
3,0,101,10.0,128.0
3,0,102,19.0,128.0
3,0,103,11.0,128.0
3,0,104,12.0,128.0
3,0,105,11.0,128.0
3,0,106,13.0,128.0
3,0,107,11.0,128.0
3,0,108,13.0,128.0
3,0,109,19.0,128.0
3,0,110,21.0,128.0
3,0,111,14.0,128.0
3,0,112,19.0,128.0
3,0,113,22.0,128.0
3,0,114,15.0,128.0
3,0,115,18.0,128.0
3,0,116,13.0,128.0
