num_levels,vector_dimension,scope,dataset_id,krischan_accuracy,candidate_accuracy,delta_candidate_minus_krischan,winner
51,2048,dataset,1,0.831,0.77011494,-0.060885059999999935,krischan
51,2048,dataset,2,0.8609,0.86206897,0.001168970000000047,candidate
51,2048,dataset,3,0.9712999999999999,0.97126437,-3.56299999999532e-05,krischan
51,2048,overall,-1,0.9092,0.90086207,-0.008337930000000049,krischan
51,4096,dataset,0,0.9851000000000001,0.98850575,0.003405749999999874,candidate
51,4096,dataset,1,0.8414,0.83908046,-0.002319540000000009,krischan
51,4096,dataset,2,0.8609,0.86206897,0.001168970000000047,candidate
51,4096,dataset,3,0.9667,0.98850575,0.021805749999999957,candidate
51,4096,overall,-1,0.9135,0.91954023,0.00604022999999998,candidate
51,8192,dataset,0,0.9815999999999999,0.99425287,0.012652870000000038,candidate
51,8192,dataset,1,0.7828,0.78735632,0.004556319999999947,candidate
51,8192,dataset,2,0.8644,0.86781609,0.0034160900000000938,candidate
51,8192,dataset,3,0.9690000000000001,0.98275862,0.013758619999999944,candidate
51,8192,overall,-1,0.8994,0.90804598,0.008645980000000053,candidate
61,512,dataset,0,0.9804999999999999,1.0,0.019500000000000073,candidate
61,512,dataset,1,0.7056999999999999,0.96551724,0.25981724000000017,candidate
61,512,dataset,2,0.8391,0.86206897,0.02296897000000009,candidate
61,512,dataset,3,0.9712999999999999,0.98850575,0.01720575000000002,candidate
61,512,overall,-1,0.8741,0.95402299,0.07992299000000003,candidate
61,1024,dataset,0,0.9782,1.0,0.02180000000000004,candidate
61,1024,dataset,1,0.7161,0.82758621,0.11148621000000003,candidate
61,1024,dataset,2,0.8529000000000001,0.85632184,0.0034218399999998983,candidate
61,1024,dataset,3,0.9655,0.97701149,0.011511489999999958,candidate
61,1024,overall,-1,0.8782,0.91522989,0.03702989000000001,candidate
61,2048,dataset,0,0.9448000000000001,0.98850575,0.04370574999999988,candidate
61,2048,dataset,1,0.7931,0.85057471,0.05747470999999993,candidate
61,2048,dataset,2,0.8805,0.86206897,-0.018431029999999904,krischan
61,2048,dataset,3,0.9782,0.97701149,-0.001188509999999976,krischan
61,2048,overall,-1,0.8991,0.91954023,0.020440229999999948,candidate
61,4096,dataset,0,0.9851000000000001,1.0,0.014899999999999913,candidate
61,4096,dataset,1,0.7414000000000001,0.88505747,0.14365746999999995,candidate
61,4096,dataset,2,0.8517,0.86206897,0.010368970000000033,candidate
61,4096,dataset,3,0.9815999999999999,0.98850575,0.006905750000000044,candidate
61,4096,overall,-1,0.8898999999999999,0.93390805,0.044008050000000076,candidate
61,8192,dataset,0,0.9851000000000001,1.0,0.014899999999999913,candidate
61,8192,dataset,1,0.8184,0.79310345,-0.025296549999999973,krischan
61,8192,dataset,2,0.8540000000000001,0.86206897,0.008068969999999953,candidate
61,8192,dataset,3,0.9839,0.99425287,0.010352869999999958,candidate
61,8192,overall,-1,0.9103,0.91235632,0.0020563200000000004,candidate
71,512,dataset,0,0.977,0.98275862,0.005758620000000048,candidate
71,512,dataset,1,0.6678000000000001,0.81609195,0.14829194999999995,candidate
71,512,dataset,2,0.8690000000000001,0.87931034,0.010310339999999862,candidate
71,512,dataset,3,0.977,0.97701149,1.1490000000002887e-05,candidate
71,512,overall,-1,0.8726999999999999,0.9137931,0.041093100000000105,candidate
71,1024,dataset,0,0.9804999999999999,1.0,0.019500000000000073,candidate
71,1024,dataset,1,0.8828,0.81609195,-0.06670805000000002,krischan
71,1024,dataset,2,0.8575,0.87931034,0.021810339999999928,candidate
71,1024,dataset,3,0.9815999999999999,1.0,0.018400000000000083,candidate
71,1024,overall,-1,0.9256,0.92385057,-0.0017494299999999408,krischan
71,2048,dataset,0,0.9862000000000001,1.0,0.013799999999999923,candidate
71,2048,dataset,1,0.677,0.79310345,0.11610345,candidate
71,2048,dataset,2,0.8517,0.86781609,0.016116090000000027,candidate
71,2048,dataset,3,0.9851000000000001,0.99425287,0.009152869999999869,candidate
71,2048,overall,-1,0.875,0.9137931,0.038793100000000025,candidate
71,4096,dataset,0,0.9759,1.0,0.02410000000000001,candidate
71,4096,dataset,1,0.6069,0.78735632,0.18045632,candidate
71,4096,dataset,2,0.8517,0.86206897,0.010368970000000033,candidate
71,4096,dataset,3,0.9862000000000001,1.0,0.013799999999999923,candidate
71,4096,overall,-1,0.8552,0.91235632,0.05715632000000004,candidate
71,8192,dataset,0,0.9862000000000001,0.98850575,0.0023057499999998843,candidate
71,8192,dataset,1,0.7713,0.79885057,0.027550570000000052,candidate
71,8192,dataset,2,0.8529000000000001,0.86781609,0.014916089999999937,candidate
71,8192,dataset,3,0.9839,0.98850575,0.004605749999999964,candidate
71,8192,overall,-1,0.8986,0.91091954,0.012319540000000018,candidate
81,512,dataset,0,0.9862000000000001,0.98850575,0.0023057499999998843,candidate
81,512,dataset,1,0.6470999999999999,0.78735632,0.1402563200000001,candidate
81,512,dataset,2,0.8448,0.86781609,0.023016090000000045,candidate
81,512,dataset,3,0.9712999999999999,0.98850575,0.01720575000000002,candidate
81,512,overall,-1,0.8623999999999999,0.90804598,0.045645980000000086,candidate
81,1024,dataset,0,0.977,0.99425287,0.017252869999999976,candidate
81,1024,dataset,1,0.7724,0.76436782,-0.008032179999999944,krischan
81,1024,dataset,2,0.8482999999999999,0.86206897,0.013768970000000103,candidate
81,1024,dataset,3,0.9701000000000001,0.97701149,0.006911489999999909,candidate
81,1024,overall,-1,0.892,0.89942529,0.007425290000000029,candidate
81,2048,dataset,0,0.9851000000000001,0.99425287,0.009152869999999869,candidate
81,2048,dataset,1,0.8471,0.77011494,-0.07698505999999994,krischan
81,2048,dataset,2,0.8644,0.86781609,0.0034160900000000938,candidate
81,2048,dataset,3,0.9759,0.98275862,0.0068586200000000375,candidate
81,2048,overall,-1,0.9181,0.90373563,-0.014364370000000015,krischan
81,4096,dataset,0,0.9828,1.0,0.017199999999999993,candidate
81,4096,dataset,1,0.7506,0.74712644,-0.0034735600000000977,krischan
81,4096,dataset,2,0.8448,0.87931034,0.03451033999999997,candidate
81,4096,dataset,3,0.9851000000000001,1.0,0.014899999999999913,candidate
81,4096,overall,-1,0.8908,0.9066092,0.015809199999999968,candidate
81,8192,dataset,0,0.9828,0.99425287,0.011452869999999948,candidate
81,8192,dataset,1,0.6920000000000001,0.74137931,0.049379309999999954,candidate
81,8192,dataset,2,0.8529000000000001,0.86206897,0.009168969999999943,candidate
81,8192,dataset,3,0.9828,0.98275862,-4.1379999999979766e-05,krischan
81,8192,overall,-1,0.8776,0.89511494,0.01751493999999998,candidate
91,512,dataset,0,0.9747,0.98850575,0.01380574999999995,candidate
91,512,dataset,1,0.7908,0.97126437,0.18046437000000004,candidate
91,512,dataset,2,0.8425,0.86206897,0.01956897000000002,candidate
91,512,dataset,3,0.9851000000000001,0.98850575,0.003405749999999874,candidate
91,512,overall,-1,0.8983,0.95258621,0.05428621,candidate
91,1024,dataset,0,0.977,1.0,0.02300000000000002,candidate
91,1024,dataset,1,0.754,0.75862069,0.004620689999999983,candidate
91,1024,dataset,2,0.8437,0.87931034,0.03561033999999996,candidate
91,1024,dataset,3,0.9804999999999999,1.0,0.019500000000000073,candidate
91,1024,overall,-1,0.8887999999999999,0.90948276,0.020682760000000022,candidate
91,2048,dataset,0,0.9782,0.98850575,0.010305750000000002,candidate
91,2048,dataset,1,0.9195,0.91954023,4.022999999997445e-05,candidate
91,2048,dataset,2,0.8493999999999999,0.86206897,0.012668970000000113,candidate
91,2048,dataset,3,0.9828,0.99425287,0.011452869999999948,candidate
91,2048,overall,-1,0.9325,0.94109195,0.008591950000000015,candidate
91,4096,dataset,0,0.9839,1.0,0.016100000000000003,candidate
91,4096,dataset,1,0.9632,0.75287356,-0.2103264399999999,krischan
91,4096,dataset,2,0.8529000000000001,0.86206897,0.009168969999999943,candidate
91,4096,dataset,3,0.9828,0.99425287,0.011452869999999948,candidate
91,4096,overall,-1,0.9457,0.90229885,-0.04340115,krischan
91,8192,dataset,0,0.9782,0.98850575,0.010305750000000002,candidate
91,8192,dataset,1,0.8632,0.90229885,0.03909885000000002,candidate
91,8192,dataset,2,0.8701000000000001,0.86781609,-0.0022839100000000556,krischan
91,8192,dataset,3,0.9804999999999999,0.98850575,0.008005750000000034,candidate
91,8192,overall,-1,0.9229999999999999,0.93678161,0.01378161000000011,candidate
101,512,dataset,0,0.9759,1.0,0.02410000000000001,candidate
101,512,dataset,1,0.8747,0.95977011,0.08507010999999998,candidate
101,512,dataset,2,0.8414,0.86781609,0.026416090000000003,candidate
101,512,dataset,3,0.9747,0.99425287,0.019552869999999944,candidate
101,512,overall,-1,0.9167000000000001,0.95545977,0.03875976999999997,candidate
101,1024,dataset,0,0.9723999999999999,1.0,0.02760000000000007,candidate
101,1024,dataset,1,0.8654999999999999,0.8908046,0.02530460000000001,candidate
101,1024,dataset,2,0.8482999999999999,0.86206897,0.013768970000000103,candidate
101,1024,dataset,3,0.9851000000000001,0.98850575,0.003405749999999874,candidate
101,1024,overall,-1,0.9178000000000001,0.93534483,0.017544829999999956,candidate
101,2048,dataset,0,0.9862000000000001,1.0,0.013799999999999923,candidate
101,2048,dataset,1,0.8759,0.98275862,0.10685862000000002,candidate
101,2048,dataset,2,0.8414,0.86206897,0.02066897000000001,candidate
101,2048,dataset,3,0.9851000000000001,0.99425287,0.009152869999999869,candidate
101,2048,overall,-1,0.9220999999999999,0.95977011,0.03767011000000009,candidate
101,4096,dataset,0,0.9862000000000001,0.98850575,0.0023057499999998843,candidate
101,4096,dataset,1,0.9034,0.92528736,0.021887360000000022,candidate
101,4096,dataset,2,0.8529000000000001,0.86206897,0.009168969999999943,candidate
101,4096,dataset,3,0.9862000000000001,1.0,0.013799999999999923,candidate
101,4096,overall,-1,0.9322,0.94396552,0.011765519999999974,candidate
101,8192,dataset,0,0.9839,0.99425287,0.010352869999999958,candidate
101,8192,dataset,1,0.9540000000000001,0.93103448,-0.022965520000000073,krischan
101,8192,dataset,2,0.8493999999999999,0.87356322,0.02416322000000004,candidate
101,8192,dataset,3,0.9804999999999999,0.99425287,0.013752870000000028,candidate
101,8192,overall,-1,0.9420000000000001,0.94827586,0.006275859999999911,candidate
111,512,dataset,0,0.9667,0.99425287,0.02755286999999995,candidate
111,512,dataset,1,0.8425,0.8045977,-0.037902300000000055,krischan
111,512,dataset,2,0.8575,0.85632184,-0.0011781600000000392,krischan
111,512,dataset,3,0.9804999999999999,0.97126437,-0.00923562999999994,krischan
111,512,overall,-1,0.9118,0.9066092,-0.005190800000000051,krischan
111,1024,dataset,0,0.9873999999999999,1.0,0.012600000000000056,candidate
111,1024,dataset,1,0.7563,0.81034483,0.054044830000000044,candidate
111,1024,dataset,2,0.8356,0.87931034,0.04371033999999996,candidate
111,1024,dataset,3,0.9804999999999999,1.0,0.019500000000000073,candidate
111,1024,overall,-1,0.8898999999999999,0.92241379,0.0325137900000001,candidate
111,2048,dataset,0,0.9782,1.0,0.02180000000000004,candidate
111,2048,dataset,1,0.9023,0.96551724,0.06321724000000006,candidate
111,2048,dataset,2,0.8448,0.86206897,0.01726897000000005,candidate
111,2048,dataset,3,0.9862000000000001,0.99425287,0.008052869999999879,candidate
111,2048,overall,-1,0.9279000000000001,0.95545977,0.027559769999999983,candidate
111,4096,dataset,0,0.9851000000000001,0.99425287,0.009152869999999869,candidate
111,4096,dataset,1,0.9356,0.89655172,-0.039048279999999935,krischan
111,4096,dataset,2,0.8540000000000001,0.86206897,0.008068969999999953,candidate
111,4096,dataset,3,0.9862000000000001,0.99425287,0.008052869999999879,candidate
111,4096,overall,-1,0.9401999999999999,0.93678161,-0.0034183899999998824,krischan
111,8192,dataset,0,0.9862000000000001,0.98850575,0.0023057499999998843,candidate
111,8192,dataset,1,0.9,0.91954023,0.019540229999999936,candidate
111,8192,dataset,2,0.8506,0.87356322,0.02296321999999995,candidate
111,8192,dataset,3,0.9862000000000001,1.0,0.013799999999999923,candidate
111,8192,overall,-1,0.9307,0.9454023,0.014702300000000057,candidate
121,512,dataset,0,0.9678,0.98850575,0.020705749999999967,candidate
121,512,dataset,1,0.7437,0.65517241,-0.08852758999999999,krischan
121,512,dataset,2,0.8276,0.86781609,0.04021609000000004,candidate
121,512,dataset,3,0.9793000000000001,0.97126437,-0.008035630000000071,krischan
121,512,overall,-1,0.8795999999999999,0.87068966,-0.008910339999999906,krischan
121,1024,dataset,0,0.9815999999999999,1.0,0.018400000000000083,candidate
121,1024,dataset,1,0.8402,0.77011494,-0.07008505999999992,krischan
121,1024,dataset,2,0.8218000000000001,0.87356322,0.05176321999999989,candidate
121,1024,dataset,3,0.9862000000000001,1.0,0.013799999999999923,candidate
121,1024,overall,-1,0.9075,0.91091954,0.0034195399999999987,candidate
121,2048,dataset,0,0.9747,1.0,0.02529999999999999,candidate
121,2048,dataset,1,0.754,0.85632184,0.10232184,candidate
121,2048,dataset,2,0.8437,0.86781609,0.024116090000000034,candidate
121,2048,dataset,3,0.9839,1.0,0.016100000000000003,candidate
121,2048,overall,-1,0.8891,0.93103448,0.041934479999999996,candidate
121,4096,dataset,0,0.9851000000000001,1.0,0.014899999999999913,candidate
121,4096,dataset,1,0.9184,0.86206897,-0.05633102999999995,krischan
121,4096,dataset,2,0.8448,0.86206897,0.01726897000000005,candidate
121,4096,dataset,3,0.9862000000000001,0.99425287,0.008052869999999879,candidate
121,4096,overall,-1,0.9336,0.9295977,-0.004002300000000014,krischan
121,8192,dataset,0,0.9851000000000001,0.99425287,0.009152869999999869,candidate
121,8192,dataset,1,0.8345,0.83333333,-0.0011666700000000363,krischan
121,8192,dataset,2,0.8493999999999999,0.86781609,0.018416090000000107,candidate
121,8192,dataset,3,0.9839,1.0,0.016100000000000003,candidate
121,8192,overall,-1,0.9131999999999999,0.92385057,0.010650570000000137,candidate
131,512,dataset,0,0.9723999999999999,1.0,0.02760000000000007,candidate
131,512,dataset,1,0.7816,0.94827586,0.16667586,candidate
131,512,dataset,2,0.8299,0.86206897,0.032168970000000074,candidate
131,512,dataset,3,0.9851000000000001,0.96551724,-0.019582760000000032,krischan
131,512,overall,-1,0.8922,0.94396552,0.05176552000000001,candidate
131,1024,dataset,0,0.9793000000000001,1.0,0.02069999999999994,candidate
131,1024,dataset,1,0.7598,0.77586207,0.01606206999999993,candidate
131,1024,dataset,2,0.8368000000000001,0.88505747,0.048257469999999913,candidate
131,1024,dataset,3,0.9815999999999999,0.98850575,0.006905750000000044,candidate
131,1024,overall,-1,0.8894,0.91235632,0.02295632000000003,candidate
131,2048,dataset,0,0.977,1.0,0.02300000000000002,candidate
131,2048,dataset,1,0.8540000000000001,0.86206897,0.008068969999999953,candidate
131,2048,dataset,2,0.8493999999999999,0.86781609,0.018416090000000107,candidate
131,2048,dataset,3,0.977,0.99425287,0.017252869999999976,candidate
131,2048,overall,-1,0.9144,0.93103448,0.016634480000000007,candidate
131,4096,dataset,0,0.9747,0.98850575,0.01380574999999995,candidate
131,4096,dataset,1,0.8161,0.7816092,-0.034490800000000044,krischan
131,4096,dataset,2,0.8356,0.86206897,0.026468970000000036,candidate
131,4096,dataset,3,0.9793000000000001,1.0,0.02069999999999994,candidate
131,4096,overall,-1,0.9014,0.90804598,0.006645980000000051,candidate
131,8192,dataset,0,0.9804999999999999,0.99425287,0.013752870000000028,candidate
131,8192,dataset,1,0.8667,0.85632184,-0.010378160000000025,krischan
131,8192,dataset,2,0.8448,0.86781609,0.023016090000000045,candidate
131,8192,dataset,3,0.9851000000000001,0.99425287,0.009152869999999869,candidate
131,8192,overall,-1,0.9193000000000001,0.92816092,0.008860919999999828,candidate
141,512,dataset,0,0.9667,0.98275862,0.016058620000000023,candidate
141,512,dataset,1,0.8931,0.87931034,-0.013789660000000037,krischan
141,512,dataset,2,0.8506,0.86781609,0.017216090000000017,candidate
141,512,dataset,3,0.9828,0.98850575,0.005705749999999954,candidate
141,512,overall,-1,0.9233,0.9295977,0.006297699999999962,candidate
141,1024,dataset,0,0.9815999999999999,1.0,0.018400000000000083,candidate
141,1024,dataset,1,0.7241,0.86781609,0.14371609000000007,candidate
141,1024,dataset,2,0.8195,0.86206897,0.04256897000000004,candidate
141,1024,dataset,3,0.9804999999999999,0.99425287,0.013752870000000028,candidate
141,1024,overall,-1,0.8764,0.93103448,0.05463448000000004,candidate
141,2048,dataset,0,0.977,0.99425287,0.017252869999999976,candidate
141,2048,dataset,1,0.9253,0.94827586,0.02297585999999996,candidate
141,2048,dataset,2,0.8437,0.86206897,0.01836897000000004,candidate
141,2048,dataset,3,0.9828,0.99425287,0.011452869999999948,candidate
141,2048,overall,-1,0.9322,0.94971264,0.017512639999999968,candidate
141,4096,dataset,0,0.9793000000000001,0.98850575,0.009205749999999902,candidate
141,4096,dataset,1,0.8759,0.8908046,0.014904599999999935,candidate
141,4096,dataset,2,0.8482999999999999,0.86206897,0.013768970000000103,candidate
141,4096,dataset,3,0.9839,1.0,0.016100000000000003,candidate
141,4096,overall,-1,0.9218000000000001,0.93534483,0.013544829999999952,candidate
141,8192,dataset,0,0.9828,0.99425287,0.011452869999999948,candidate
141,8192,dataset,1,0.9309999999999999,0.91954023,-0.01145976999999998,krischan
141,8192,dataset,2,0.8540000000000001,0.86781609,0.013816089999999948,candidate
141,8192,dataset,3,0.9851000000000001,1.0,0.014899999999999913,candidate
141,8192,overall,-1,0.9381999999999999,0.9454023,0.007202300000000106,candidate
151,512,dataset,0,0.9690000000000001,0.99425287,0.025252869999999872,candidate
151,512,dataset,1,0.8931,0.83908046,-0.05401953999999998,krischan
151,512,dataset,2,0.8506,0.86206897,0.011468970000000023,candidate
151,512,dataset,3,0.9851000000000001,0.98850575,0.003405749999999874,candidate
151,512,overall,-1,0.9244,0.92097701,-0.0034229900000000146,krischan
151,1024,dataset,0,0.9747,1.0,0.02529999999999999,candidate
151,1024,dataset,1,0.8885,0.60344828,-0.28505172,krischan
151,1024,dataset,2,0.8240999999999999,0.85057471,0.026474710000000012,candidate
151,1024,dataset,3,0.9828,1.0,0.017199999999999993,candidate
151,1024,overall,-1,0.9175,0.86350575,-0.05399425000000002,krischan
151,2048,dataset,0,0.9804999999999999,1.0,0.019500000000000073,candidate
151,2048,dataset,1,0.9218000000000001,0.93103448,0.009234479999999934,candidate
151,2048,dataset,2,0.831,0.86781609,0.03681609000000008,candidate
151,2048,dataset,3,0.9839,0.98850575,0.004605749999999964,candidate
151,2048,overall,-1,0.9293,0.94683908,0.01753908000000004,candidate
151,4096,dataset,0,0.9759,0.98850575,0.012605749999999971,candidate
151,4096,dataset,1,0.9253,0.8908046,-0.034495400000000065,krischan
151,4096,dataset,2,0.8391,0.86781609,0.028716090000000083,candidate
151,4096,dataset,3,0.9862000000000001,1.0,0.013799999999999923,candidate
151,4096,overall,-1,0.9316,0.93678161,0.005181610000000059,candidate
151,8192,dataset,0,0.9851000000000001,0.98850575,0.003405749999999874,candidate
151,8192,dataset,1,0.8908,0.94827586,0.057475859999999934,candidate
151,8192,dataset,2,0.846,0.86781609,0.021816090000000066,candidate
151,8192,dataset,3,0.9839,1.0,0.016100000000000003,candidate
151,8192,overall,-1,0.9264,0.95114943,0.02474942999999996,candidate
