num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,ga_mutation_rate,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.86836028,0.86888532,0.22500000,376,57,0,433,"model=mine,scope=dataset,dataset=2,phase=postopt-validation"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.86551724,0.86551724,0.22500000,251,39,0,290,"model=mine,scope=dataset,dataset=2,phase=postopt-test"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.99307159,0.99302326,0.34765625,430,3,0,433,"model=mine,scope=dataset,dataset=3,phase=preopt-validation"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.99310345,0.99310345,0.34765625,288,2,0,290,"model=mine,scope=dataset,dataset=3,phase=preopt-test"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.25546875,433,0,0,433,"model=mine,scope=dataset,dataset=3,phase=postopt-validation"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.98275862,0.98275862,0.25546875,285,5,0,290,"model=mine,scope=dataset,dataset=3,phase=postopt-test"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.89722864,0.89734028,0.42890625,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.93706897,0.93706897,0.42890625,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.94137931,0.94137931,0.32666016,1092,68,0,1160,"model=mine,scope=overall,phase=postopt-test"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.94861432,0.94881048,0.32666016,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.86374134,0.86399358,0.26484375,374,59,0,433,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
