binning_mode,mode_name,num_levels,vector_dimension,dataset,uniform_validation,uniform_test,advanced_validation,advanced_test
0,uniform,15,8192,1,0.61893764,0.57241379,0.61893764,0.57241379
0,uniform,15,8192,2,0.73441109,0.86896552,0.73441109,0.86896552
0,uniform,15,8192,3,0.89838337,0.93103448,0.89838337,0.93103448
0,uniform,20,512,0,0.84757506,0.98275862,0.84757506,0.98275862
0,uniform,20,512,1,0.79214781,0.55517241,0.79214781,0.55517241
0,uniform,20,512,2,0.76674365,0.83793103,0.76674365,0.83793103
0,uniform,20,512,3,0.852194,0.92758621,0.852194,0.92758621
0,uniform,20,1024,0,0.84988453,0.97241379,0.84988453,0.97241379
0,uniform,20,1024,1,0.79445727,0.60689655,0.79445727,0.60689655
0,uniform,20,1024,2,0.79214781,0.84482759,0.79214781,0.84482759
0,uniform,20,1024,3,0.86605081,0.92413793,0.86605081,0.92413793
0,uniform,20,1536,0,0.87759815,0.98275862,0.87759815,0.98275862
0,uniform,20,1536,1,0.80600462,0.53793103,0.80600462,0.53793103
0,uniform,20,1536,2,0.81755196,0.84482759,0.81755196,0.84482759
0,uniform,20,1536,3,0.86374134,0.90689655,0.86374134,0.90689655
0,uniform,20,2048,0,0.87759815,0.9862069,0.87759815,0.9862069
0,uniform,20,2048,1,0.80831409,0.57586207,0.80831409,0.57586207
0,uniform,20,2048,2,0.80831409,0.84482759,0.80831409,0.84482759
0,uniform,20,2048,3,0.85681293,0.92068966,0.85681293,0.92068966
0,uniform,20,3072,0,0.84526559,0.98275862,0.84526559,0.98275862
0,uniform,20,3072,1,0.81293303,0.54827586,0.81293303,0.54827586
0,uniform,20,3072,2,0.83371824,0.84482759,0.83371824,0.84482759
0,uniform,20,3072,3,0.86374134,0.91034483,0.86374134,0.91034483
0,uniform,20,4096,0,0.84064665,0.98275862,0.84064665,0.98275862
0,uniform,20,4096,1,0.80138568,0.52068966,0.80138568,0.52068966
0,uniform,20,4096,2,0.82448037,0.84482759,0.82448037,0.84482759
0,uniform,20,4096,3,0.86836028,0.90344828,0.86836028,0.90344828
0,uniform,20,5120,0,0.87528868,0.98275862,0.87528868,0.98275862
0,uniform,20,5120,1,0.81755196,0.55517241,0.81755196,0.55517241
0,uniform,20,5120,2,0.80138568,0.84482759,0.80138568,0.84482759
0,uniform,20,5120,3,0.86605081,0.9137931,0.86605081,0.9137931
0,uniform,20,6144,0,0.87759815,0.98275862,0.87759815,0.98275862
0,uniform,20,6144,1,0.8221709,0.56551724,0.8221709,0.56551724
0,uniform,20,6144,2,0.80831409,0.84482759,0.80831409,0.84482759
0,uniform,20,6144,3,0.8591224,0.90689655,0.8591224,0.90689655
0,uniform,20,7168,0,0.88683603,0.9862069,0.88683603,0.9862069
0,uniform,20,7168,1,0.81755196,0.55172414,0.81755196,0.55172414
0,uniform,20,7168,2,0.80831409,0.84482759,0.80831409,0.84482759
0,uniform,20,7168,3,0.86605081,0.91034483,0.86605081,0.91034483
0,uniform,20,8192,0,0.87528868,0.98275862,0.87528868,0.98275862
0,uniform,20,8192,1,0.81986143,0.57241379,0.81986143,0.57241379
0,uniform,20,8192,2,0.80831409,0.84482759,0.80831409,0.84482759
0,uniform,20,8192,3,0.86605081,0.9137931,0.86605081,0.9137931
0,uniform,25,512,0,0.852194,0.95517241,0.852194,0.95517241
0,uniform,25,512,1,0.84295612,0.5862069,0.84295612,0.5862069
0,uniform,25,512,2,0.75981524,0.83103448,0.75981524,0.83103448
0,uniform,25,512,3,0.99769053,0.9862069,0.99769053,0.9862069
0,uniform,25,1024,0,0.86374134,0.95517241,0.86374134,0.95517241
0,uniform,25,1024,1,0.79445727,0.46206897,0.79445727,0.46206897
0,uniform,25,1024,2,0.76212471,0.83448276,0.76212471,0.83448276
0,uniform,25,1024,3,0.99769053,0.9862069,0.99769053,0.9862069
0,uniform,25,1536,0,0.87066975,0.9862069,0.87066975,0.9862069
0,uniform,25,1536,1,0.81755196,0.51034483,0.81755196,0.51034483
0,uniform,25,1536,2,0.78060046,0.8137931,0.78060046,0.8137931
0,uniform,25,1536,3,0.99538106,0.9862069,0.99538106,0.9862069
0,uniform,25,2048,0,0.87759815,0.98965517,0.87759815,0.98965517
0,uniform,25,2048,1,0.76212471,0.45517241,0.76212471,0.45517241
0,uniform,25,2048,2,0.78060046,0.81724138,0.78060046,0.81724138
0,uniform,25,2048,3,0.99538106,0.9862069,0.99538106,0.9862069
0,uniform,25,3072,0,0.85681293,0.97931034,0.85681293,0.97931034
0,uniform,25,3072,1,0.76905312,0.50689655,0.76905312,0.50689655
0,uniform,25,3072,2,0.79445727,0.82068966,0.79445727,0.82068966
0,uniform,25,3072,3,0.99769053,0.98965517,0.99769053,0.98965517
0,uniform,25,4096,0,0.8591224,0.98965517,0.8591224,0.98965517
0,uniform,25,4096,1,0.78060046,0.45862069,0.78060046,0.45862069
0,uniform,25,4096,2,0.7852194,0.82068966,0.7852194,0.82068966
0,uniform,25,4096,3,0.99769053,0.9862069,0.99769053,0.9862069
0,uniform,25,5120,0,0.86605081,0.9862069,0.86605081,0.9862069
0,uniform,25,5120,1,0.78752887,0.4862069,0.78752887,0.4862069
0,uniform,25,5120,2,0.77829099,0.84482759,0.77829099,0.84482759
0,uniform,25,5120,3,0.99769053,0.9862069,0.99769053,0.9862069
0,uniform,25,6144,0,0.86374134,0.98275862,0.86374134,0.98275862
0,uniform,25,6144,1,0.78060046,0.48965517,0.78060046,0.48965517
0,uniform,25,6144,2,0.76905312,0.81724138,0.76905312,0.81724138
0,uniform,25,6144,3,0.99769053,0.98965517,0.99769053,0.98965517
0,uniform,25,7168,0,0.86836028,0.99310345,0.86836028,0.99310345
0,uniform,25,7168,1,0.77829099,0.50689655,0.77829099,0.50689655
0,uniform,25,7168,2,0.77598152,0.80689655,0.77598152,0.80689655
0,uniform,25,7168,3,0.99769053,0.98965517,0.99769053,0.98965517
0,uniform,25,8192,0,0.87297921,0.9862069,0.87297921,0.9862069
0,uniform,25,8192,1,0.76212471,0.44482759,0.76212471,0.44482759
0,uniform,25,8192,2,0.77598152,0.82413793,0.77598152,0.82413793
0,uniform,25,8192,3,0.99769053,0.9862069,0.99769053,0.9862069
0,uniform,30,512,0,0.87528868,0.97241379,0.87528868,0.97241379
0,uniform,30,512,1,0.79445727,0.64482759,0.79445727,0.64482759
0,uniform,30,512,2,0.76674365,0.83448276,0.76674365,0.83448276
0,uniform,30,512,3,0.95842956,0.96206897,0.95842956,0.96206897
0,uniform,30,1024,0,0.88221709,0.9862069,0.88221709,0.9862069
0,uniform,30,1024,1,0.77829099,0.64137931,0.77829099,0.64137931
0,uniform,30,1024,2,0.76905312,0.87931034,0.76905312,0.87931034
0,uniform,30,1024,3,0.96535797,0.96206897,0.96535797,0.96206897
0,uniform,30,1536,0,0.88683603,0.9862069,0.88683603,0.9862069
0,uniform,30,1536,1,0.79445727,0.65862069,0.79445727,0.65862069
0,uniform,30,1536,2,0.83833718,0.86206897,0.83833718,0.86206897
0,uniform,30,1536,3,0.9630485,0.96206897,0.9630485,0.96206897
0,uniform,30,2048,0,0.88221709,0.98965517,0.88221709,0.98965517
0,uniform,30,2048,1,0.77136259,0.6137931,0.77136259,0.6137931
0,uniform,30,2048,2,0.82448037,0.86206897,0.82448037,0.86206897
0,uniform,30,2048,3,0.96766744,0.96896552,0.96766744,0.96896552
0,uniform,30,3072,0,0.85681293,0.9862069,0.85681293,0.9862069
0,uniform,30,3072,1,0.77367206,0.63448276,0.77367206,0.63448276
0,uniform,30,3072,2,0.82448037,0.85517241,0.82448037,0.85517241
0,uniform,30,3072,3,0.96766744,0.96896552,0.96766744,0.96896552
0,uniform,30,4096,0,0.87528868,0.9862069,0.87528868,0.9862069
0,uniform,30,4096,1,0.78060046,0.64137931,0.78060046,0.64137931
0,uniform,30,4096,2,0.81293303,0.85862069,0.81293303,0.85862069
0,uniform,30,4096,3,0.9630485,0.95862069,0.9630485,0.95862069
0,uniform,30,5120,0,0.88221709,0.98965517,0.88221709,0.98965517
0,uniform,30,5120,1,0.78290993,0.66206897,0.78290993,0.66206897
0,uniform,30,5120,2,0.80600462,0.86551724,0.80600462,0.86551724
0,uniform,30,5120,3,0.9630485,0.96206897,0.9630485,0.96206897
0,uniform,30,6144,0,0.86143187,0.98275862,0.86143187,0.98275862
0,uniform,30,6144,1,0.77367206,0.64827586,0.77367206,0.64827586
0,uniform,30,6144,2,0.80600462,0.85862069,0.80600462,0.85862069
0,uniform,30,6144,3,0.96766744,0.96206897,0.96766744,0.96206897
0,uniform,30,7168,0,0.88452656,0.98275862,0.88452656,0.98275862
0,uniform,30,7168,1,0.77136259,0.64827586,0.77136259,0.64827586
0,uniform,30,7168,2,0.79907621,0.85517241,0.79907621,0.85517241
0,uniform,30,7168,3,0.96766744,0.96206897,0.96766744,0.96206897
