num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
91,32,512,0,1,0,0,5,100,1,0.000000,0.97126437,0.97142857,0.16484375,169,4,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
91,32,512,0,1,0,0,5,100,1,0.000000,0.95977011,0.95966387,0.67656250,167,6,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
91,32,512,0,1,0,0,5,100,1,0.000000,0.82183908,0.82218487,0.15625000,143,31,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
91,32,512,0,1,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.21093750,174,0,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
91,32,512,0,1,0,0,5,100,1,0.000000,0.93821839,0.93831933,0.30214844,653,41,2,696,"model=mine,scope=overall,phase=test"
101,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.16875000,170,3,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
101,32,512,0,1,0,0,5,100,1,0.000000,0.85057471,0.85142857,0.67968750,148,24,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
101,32,512,0,1,0,0,5,100,1,0.000000,0.82183908,0.82201681,0.14531250,143,31,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
101,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.22734375,171,3,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
101,32,512,0,1,0,0,5,100,1,0.000000,0.90804598,0.90836134,0.30527344,632,61,3,696,"model=mine,scope=overall,phase=test"
111,32,512,0,1,0,0,5,100,1,0.000000,0.97126437,0.97142857,0.16328125,169,4,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
111,32,512,0,1,0,0,5,100,1,0.000000,0.93678161,0.93714286,0.65000000,163,11,0,174,"model=mine,scope=dataset,dataset=1,phase=test"
111,32,512,0,1,0,0,5,100,1,0.000000,0.81609195,0.81613445,0.13203125,142,32,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
111,32,512,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.19375000,173,1,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
111,32,512,0,1,0,0,5,100,1,0.000000,0.92959770,0.92974790,0.28476563,647,48,1,696,"model=mine,scope=overall,phase=test"
121,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.15000000,171,2,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
121,32,512,0,1,0,0,5,100,1,0.000000,0.92528736,0.92571429,0.65546875,161,11,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
121,32,512,0,1,0,0,5,100,1,0.000000,0.82758621,0.82789916,0.14062500,144,30,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
121,32,512,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.20703125,173,1,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
121,32,512,0,1,0,0,5,100,1,0.000000,0.93247126,0.93268908,0.28828125,649,44,3,696,"model=mine,scope=overall,phase=test"
131,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.15546875,170,3,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
131,32,512,0,1,0,0,5,100,1,0.000000,0.90804598,0.90840336,0.66953125,158,15,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
131,32,512,0,1,0,0,5,100,1,0.000000,0.82758621,0.82789916,0.14531250,144,30,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
131,32,512,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.18671875,173,1,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
131,32,512,0,1,0,0,5,100,1,0.000000,0.92672414,0.92693277,0.28925781,645,49,2,696,"model=mine,scope=overall,phase=test"
141,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.15156250,170,3,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
141,32,512,0,1,0,0,5,100,1,0.000000,0.81034483,0.80907563,0.63750000,141,31,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
141,32,512,0,1,0,0,5,100,1,0.000000,0.82758621,0.82789916,0.13750000,144,30,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
141,32,512,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.20781250,173,1,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
141,32,512,0,1,0,0,5,100,1,0.000000,0.90229885,0.90210084,0.28359375,628,65,3,696,"model=mine,scope=overall,phase=test"
151,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.15781250,170,3,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
151,32,512,0,1,0,0,5,100,1,0.000000,0.82758621,0.82705882,0.64453125,144,29,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
151,32,512,0,1,0,0,5,100,1,0.000000,0.82183908,0.82201681,0.12890625,143,31,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
151,32,512,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.20859375,173,1,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
151,32,512,0,1,0,0,5,100,1,0.000000,0.90517241,0.90512605,0.28496094,630,64,2,696,"model=mine,scope=overall,phase=test"
21,32,1024,0,1,0,0,5,100,1,0.000000,0.98275862,0.98252101,0.17968750,171,2,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,1024,0,1,0,0,5,100,1,0.000000,0.39655172,0.39428571,0.99765625,69,102,3,174,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,1024,0,1,0,0,5,100,1,0.000000,0.91379310,0.91428571,0.25468750,159,15,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,1024,0,1,0,0,5,100,1,0.000000,0.79885057,0.80000000,0.22070312,139,34,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,1024,0,1,0,0,5,100,1,0.000000,0.77298851,0.77277311,0.41318359,538,153,5,696,"model=mine,scope=overall,phase=test"
31,32,1024,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.16210938,171,2,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,1024,0,1,0,0,5,100,1,0.000000,0.54597701,0.54285714,0.86210937,95,77,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,1024,0,1,0,0,5,100,1,0.000000,0.82183908,0.82285714,0.21210937,143,31,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,1024,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.20234375,171,3,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,1024,0,1,0,0,5,100,1,0.000000,0.83333333,0.83285714,0.35966797,580,113,3,696,"model=mine,scope=overall,phase=test"
41,32,1024,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.15468750,171,2,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,1024,0,1,0,0,5,100,1,0.000000,0.48275862,0.48000000,0.76484375,84,90,0,174,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,1024,0,1,0,0,5,100,1,0.000000,0.85057471,0.85142857,0.20625000,148,26,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,1024,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.21796875,171,3,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
41,32,1024,0,1,0,0,5,100,1,0.000000,0.82471264,0.82428571,0.33593750,574,121,1,696,"model=mine,scope=overall,phase=test"
51,32,1024,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.12890625,173,1,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
