seed,dataset,generation,new_selected,population
1,0,1,73.0,128.0
1,0,2,55.0,128.0
1,0,3,45.0,128.0
1,0,4,33.0,128.0
1,0,5,37.0,128.0
1,0,6,26.0,128.0
1,0,7,22.0,128.0
1,0,8,26.0,128.0
1,0,9,21.0,128.0
1,0,10,24.0,128.0
1,0,11,18.0,128.0
1,0,12,19.0,128.0
1,0,13,14.0,128.0
1,0,14,13.0,128.0
1,0,15,11.0,128.0
1,0,16,10.0,128.0
1,0,17,10.0,128.0
1,0,18,15.0,128.0
1,0,19,8.0,128.0
1,0,20,10.0,128.0
1,0,21,15.0,128.0
1,0,22,8.0,128.0
1,0,23,10.0,128.0
1,0,24,5.0,128.0
1,0,25,17.0,128.0
1,0,26,14.0,128.0
1,0,27,8.0,128.0
1,0,28,7.0,128.0
1,0,29,8.0,128.0
1,0,30,5.0,128.0
1,0,31,4.0,128.0
1,0,32,7.0,128.0
1,0,33,4.0,128.0
1,0,34,5.0,128.0
1,0,35,9.0,128.0
1,0,36,8.0,128.0
1,0,37,6.0,128.0
1,0,38,9.0,128.0
1,0,39,8.0,128.0
1,0,40,5.0,128.0
1,0,41,8.0,128.0
1,0,42,4.0,128.0
1,0,43,7.0,128.0
1,0,44,4.0,128.0
1,0,45,3.0,128.0
1,0,46,0.0,128.0
1,0,47,7.0,128.0
1,0,48,10.0,128.0
1,0,49,12.0,128.0
1,0,50,7.0,128.0
1,0,51,7.0,128.0
1,0,52,7.0,128.0
1,0,53,8.0,128.0
1,0,54,6.0,128.0
1,0,55,7.0,128.0
1,0,56,4.0,128.0
1,0,57,4.0,128.0
1,0,58,11.0,128.0
1,0,59,15.0,128.0
1,0,60,8.0,128.0
1,0,61,13.0,128.0
1,0,62,7.0,128.0
1,0,63,13.0,128.0
1,0,64,8.0,128.0
1,0,65,9.0,128.0
1,0,66,12.0,128.0
1,0,67,15.0,128.0
1,0,68,13.0,128.0
1,0,69,16.0,128.0
1,0,70,18.0,128.0
1,0,71,16.0,128.0
1,0,72,18.0,128.0
1,0,73,16.0,128.0
1,0,74,17.0,128.0
1,0,75,7.0,128.0
1,0,76,15.0,128.0
1,0,77,17.0,128.0
1,0,78,15.0,128.0
1,0,79,12.0,128.0
1,0,80,16.0,128.0
1,0,81,21.0,128.0
1,0,82,15.0,128.0
1,0,83,15.0,128.0
1,0,84,13.0,128.0
1,0,85,19.0,128.0
1,0,86,10.0,128.0
1,0,87,16.0,128.0
1,0,88,10.0,128.0
1,0,89,17.0,128.0
1,0,90,11.0,128.0
1,0,91,10.0,128.0
1,0,92,12.0,128.0
1,0,93,11.0,128.0
1,0,94,13.0,128.0
1,0,95,12.0,128.0
1,0,96,11.0,128.0
1,0,97,8.0,128.0
1,0,98,16.0,128.0
1,0,99,7.0,128.0
1,0,100,13.0,128.0
1,0,101,13.0,128.0
1,0,102,7.0,128.0
1,0,103,14.0,128.0
1,0,104,16.0,128.0
1,0,105,15.0,128.0
1,0,106,13.0,128.0
1,0,107,10.0,128.0
1,0,108,16.0,128.0
1,0,109,15.0,128.0
1,0,110,14.0,128.0
1,0,111,14.0,128.0
1,0,112,7.0,128.0
1,0,113,13.0,128.0
